,App Store,Topics
0,GCash Good AS,"[(0, '0.157*""money"" + 0.098*""pay"" + 0.081*""bills"" + 0.079*""transactions"" + 0.069*""cash"" + 0.069*""bank"" + 0.062*""online"" + 0.061*""transfer"" + 0.059*""use"" + 0.048*""convenient""'), (1, '0.147*""good"" + 0.142*""love"" + 0.125*""convenient"" + 0.096*""use"" + 0.076*""need"" + 0.075*""great"" + 0.059*""transaction"" + 0.058*""time"" + 0.052*""easy"" + 0.051*""useful""')]"
1,GCash Bad AS,"[(0, '0.046*""money"" + 0.025*""load"" + 0.016*""use"" + 0.016*""already"" + 0.015*""tried"" + 0.013*""fix"" + 0.013*""get"" + 0.013*""transaction"" + 0.012*""received"" + 0.012*""deducted""'), (1, '0.039*""money"" + 0.028*""service"" + 0.023*""use"" + 0.019*""working"" + 0.018*""customer_service"" + 0.017*""bank"" + 0.015*""log"" + 0.014*""time"" + 0.013*""transaction"" + 0.013*""update""'), (2, '0.022*""verification"" + 0.021*""fix"" + 0.021*""verify"" + 0.021*""verified"" + 0.017*""need"" + 0.016*""use"" + 0.016*""gcredit"" + 0.016*""already"" + 0.015*""student_id"" + 0.015*""id""'), (3, '0.055*""cash"" + 0.040*""update"" + 0.023*""always"" + 0.021*""pera"" + 0.018*""verify"" + 0.018*""fix"" + 0.017*""paypal"" + 0.016*""use"" + 0.016*""wala"" + 0.016*""email""')]"
2,GCash Good PS,"[(0, '0.258*""good"" + 0.165*""nice"" + 0.078*""great"" + 0.064*""apps"" + 0.049*""ok"" + 0.048*""useful"" + 0.042*""excellent"" + 0.030*""helpful"" + 0.027*""awesome"" + 0.024*""amazing""'), (1, '0.098*""easy"" + 0.076*""use"" + 0.062*""convenient"" + 0.052*""money"" + 0.029*""fast"" + 0.026*""transaction"" + 0.018*""send"" + 0.015*""cash"" + 0.014*""pay_bills"" + 0.013*""payment""'), (2, '0.100*""love"" + 0.019*""update"" + 0.016*""load"" + 0.016*""much"" + 0.014*""maganda"" + 0.013*""give"" + 0.012*""cash"" + 0.010*""really"" + 0.010*""hope"" + 0.010*""problem""')]"
3,GCash Bad PS,"[(0, '0.053*""update"" + 0.044*""always"" + 0.026*""use"" + 0.026*""need"" + 0.023*""open"" + 0.019*""fix"" + 0.017*""good"" + 0.014*""time"" + 0.014*""error"" + 0.011*""log""'), (1, '0.024*""code"" + 0.023*""email"" + 0.020*""number"" + 0.019*""send"" + 0.014*""register"" + 0.014*""mpin"" + 0.013*""customer_service"" + 0.012*""worst"" + 0.012*""already"" + 0.012*""tried""'), (2, '0.063*""money"" + 0.029*""cash"" + 0.016*""load"" + 0.014*""transaction"" + 0.014*""service"" + 0.013*""back"" + 0.011*""send"" + 0.010*""bank"" + 0.009*""already"" + 0.009*""pesos""'), (3, '0.028*""pera"" + 0.028*""wala"" + 0.026*""update"" + 0.026*""load"" + 0.013*""cash"" + 0.012*""ayaw"" + 0.009*""ok"" + 0.009*""bulok"" + 0.008*""tagal"" + 0.008*""laging""'), (4, '0.076*""verify"" + 0.052*""verified"" + 0.050*""id"" + 0.030*""student_id"" + 0.030*""verification"" + 0.022*""fully_verified"" + 0.019*""get"" + 0.015*""option"" + 0.014*""student"" + 0.013*""hard""')]"
4,PayMaya Good AS,"[(0, '0.082*""money"" + 0.051*""pay"" + 0.050*""use"" + 0.050*""feature"" + 0.042*""bills"" + 0.039*""useful"" + 0.035*""since"" + 0.035*""sobrang"" + 0.033*""super"" + 0.033*""transactions""'), (1, '0.065*""best"" + 0.058*""need"" + 0.053*""ewallet"" + 0.049*""good"" + 0.049*""one"" + 0.043*""load"" + 0.040*""transaction"" + 0.036*""time"" + 0.035*""convenient"" + 0.031*""users""'), (2, '0.120*""payment"" + 0.099*""good"" + 0.043*""user"" + 0.041*""service"" + 0.032*""since"" + 0.030*""bills"" + 0.029*""cashback"" + 0.029*""best"" + 0.028*""promos"" + 0.027*""great""'), (3, '0.112*""convenient"" + 0.089*""use"" + 0.071*""pay"" + 0.070*""great"" + 0.043*""online"" + 0.042*""easy"" + 0.040*""really"" + 0.038*""thanks"" + 0.029*""bills"" + 0.025*""nice""'), (4, '0.116*""easy"" + 0.086*""use"" + 0.076*""love"" + 0.068*""bank"" + 0.063*""fast"" + 0.049*""transfer"" + 0.041*""awesome"" + 0.030*""review"" + 0.029*""need"" + 0.029*""transaction""')]"
5,PayMaya Bad AS,"[(0, '0.036*""upgrade"" + 0.033*""service"" + 0.027*""use"" + 0.026*""load"" + 0.022*""add_money"" + 0.021*""tried"" + 0.021*""time"" + 0.020*""since"" + 0.018*""customer_service"" + 0.017*""fix""'), (1, '0.109*""money"" + 0.030*""back"" + 0.028*""customer_service"" + 0.026*""transaction"" + 0.026*""bank"" + 0.025*""password"" + 0.024*""tried"" + 0.021*""already"" + 0.020*""email"" + 0.019*""sent""'), (2, '0.080*""update"" + 0.074*""id"" + 0.063*""upgrade"" + 0.042*""pay"" + 0.037*""open"" + 0.030*""transfer"" + 0.027*""work"" + 0.024*""ids"" + 0.022*""need"" + 0.019*""upgrading""'), (3, '0.061*""error"" + 0.051*""money"" + 0.044*""log"" + 0.044*""internet_connection"" + 0.039*""slow"" + 0.032*""internet"" + 0.029*""days"" + 0.026*""tried"" + 0.020*""reply"" + 0.019*""customer_service""'), (4, '0.085*""virtual_card"" + 0.062*""upgrade"" + 0.062*""card"" + 0.056*""use"" + 0.036*""online"" + 0.034*""blocked"" + 0.023*""since"" + 0.021*""need"" + 0.020*""upgrading"" + 0.018*""without""')]"
6,PayMaya Good PS,"[(0, '0.155*""good"" + 0.107*""nice"" + 0.075*""great"" + 0.064*""useful"" + 0.056*""apps"" + 0.053*""convenient"" + 0.039*""awesome"" + 0.037*""love"" + 0.029*""helpful"" + 0.029*""excellent""'), (1, '0.055*""use"" + 0.041*""easy"" + 0.035*""really"" + 0.028*""best"" + 0.022*""money"" + 0.022*""online"" + 0.017*""transactions"" + 0.013*""lot"" + 0.013*""ewallet"" + 0.011*""much""'), (2, '0.053*""pay"" + 0.048*""bills"" + 0.031*""need"" + 0.026*""load"" + 0.023*""payment"" + 0.020*""online"" + 0.020*""time"" + 0.016*""money"" + 0.014*""cash"" + 0.012*""since""'), (3, '0.010*""better"" + 0.009*""users"" + 0.009*""features"" + 0.008*""since"" + 0.008*""security"" + 0.008*""never"" + 0.008*""time"" + 0.008*""every"" + 0.008*""one"" + 0.007*""really""'), (4, '0.020*""pera"" + 0.019*""gamitin"" + 0.018*""sobrang"" + 0.012*""gamit"" + 0.011*""mas"" + 0.010*""cashback"" + 0.010*""super"" + 0.009*""pwede"" + 0.009*""wala"" + 0.008*""ewallet""')]"
7,PayMaya Bad PS,"[(0, '0.028*""upgrade"" + 0.019*""load"" + 0.016*""money"" + 0.015*""use"" + 0.015*""good"" + 0.013*""pera"" + 0.013*""service"" + 0.013*""send"" + 0.012*""wala"" + 0.012*""apps""'), (1, '0.029*""error"" + 0.029*""log"" + 0.022*""server"" + 0.022*""fix"" + 0.021*""register"" + 0.021*""always"" + 0.018*""get"" + 0.018*""try"" + 0.018*""response"" + 0.017*""tried""'), (2, '0.041*""upgrade"" + 0.029*""use"" + 0.026*""card"" + 0.019*""number"" + 0.018*""id"" + 0.017*""need"" + 0.017*""virtual_card"" + 0.012*""old"" + 0.012*""duplicate"" + 0.010*""email""'), (3, '0.038*""money"" + 0.025*""customer_service"" + 0.017*""support"" + 0.016*""email"" + 0.014*""worst"" + 0.014*""already"" + 0.011*""response"" + 0.011*""reply"" + 0.010*""service"" + 0.010*""received""')]"
