Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,symmetric,0.61,0.34784297775611145
75% Corpus,3,symmetric,0.9099999999999999,0.4099911243541296
75% Corpus,3,symmetric,symmetric,0.3477128398918971
75% Corpus,3,asymmetric,0.01,0.38356907314577376
75% Corpus,3,asymmetric,0.31,0.39425618240743926
75% Corpus,3,asymmetric,0.61,0.4665050651359626
75% Corpus,3,asymmetric,0.9099999999999999,0.4191890021862601
75% Corpus,3,asymmetric,symmetric,0.4221855980242079
75% Corpus,4,0.01,0.01,0.3646829579082048
75% Corpus,4,0.01,0.31,0.3808156528665022
75% Corpus,4,0.01,0.61,0.39545548351924237
75% Corpus,4,0.01,0.9099999999999999,0.4225752614886559
75% Corpus,4,0.01,symmetric,0.3794049630484374
75% Corpus,4,0.31,0.01,0.3527234345244381
75% Corpus,4,0.31,0.31,0.3521540410943623
75% Corpus,4,0.31,0.61,0.42474158236056925
75% Corpus,4,0.31,0.9099999999999999,0.44539769193725454
75% Corpus,4,0.31,symmetric,0.34617513289251817
75% Corpus,4,0.61,0.01,0.36592874906764483
75% Corpus,4,0.61,0.31,0.35300141635119164
75% Corpus,4,0.61,0.61,0.4063506165261336
75% Corpus,4,0.61,0.9099999999999999,0.41450370079116106
75% Corpus,4,0.61,symmetric,0.35300141635119153
75% Corpus,4,0.9099999999999999,0.01,0.3683225299289298
75% Corpus,4,0.9099999999999999,0.31,0.36183991193544396
75% Corpus,4,0.9099999999999999,0.61,0.38035304384732316
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.38900089448219455
75% Corpus,4,0.9099999999999999,symmetric,0.363689399176659
75% Corpus,4,symmetric,0.01,0.36216875317119973
75% Corpus,4,symmetric,0.31,0.3513779999257977
75% Corpus,4,symmetric,0.61,0.4173276071154649
75% Corpus,4,symmetric,0.9099999999999999,0.43883748192961913
75% Corpus,4,symmetric,symmetric,0.34578034928758805
75% Corpus,4,asymmetric,0.01,0.3732620602555821
75% Corpus,4,asymmetric,0.31,0.43408289698940095
75% Corpus,4,asymmetric,0.61,0.4510825450206015
