date,rating,title_review,title_review_tokenized
2020-02-14 01:40:28,5,atm dispute i learned to like paymaya because of its cash back reward programs and the ability to use it for online purchases with the convenience of being able to fund it realtime at any 711 store and from my bpi savings i could even borrow a small sum of money from it with little interest i thought it was the best I have ever had until i had an issue with an atm withdrawal i made two withdrawal attempts because the first transaction was cancelled the first transaction still debited and did not reverse and i ended up with a negative balance i then could not use the remaining funds so i called paymaya and i was told that it would take two business days to research the issue and resolve and so i waited when on the third business day i still had the negative balance i called again and to my utter disappointment i was told that i had to wait again because apparently what i thought was a case being researched was actually a waiting time for the transaction to reverse i asked to speak to a supervisor who told me that i had to wait another week i could not believe it this is my money money i needed to use and because of some fault not of my own i completely lost access to paymaya could not do anything to make the funds available i received the reversal on the account on the 9th business day i had been using the app since 2016 and i never had an issue that was the very first time i had to reach out to customer service only to be treated like a joke i might continue to use its services but i no longer trust that my money is in good hands with paymaya i once considered to use it as a reservoir for cash flow but i have changed my mind paymaya is a great product but with terrible customer experience,"['atm', 'dispute', 'learn', 'like', 'cash', 'back', 'reward', 'program', 'ability', 'use', 'online', 'purchase', 'convenience', 'able', 'fund', 'realtime', 'store', 'bpi', 'saving', 'could', 'even', 'borrow', 'small', 'sum', 'money', 'little', 'interest', 'think', 'best', 'I', 'ever', 'issue', 'atm', 'withdrawal', 'make', 'two', 'withdrawal', 'attempt', 'first', 'transaction', 'cancel', 'first', 'transaction', 'still', 'debit', 'reverse', 'end', 'negative', 'balance', 'could', 'use', 'remain', 'fund', 'call', 'tell', 'would', 'take', 'two', 'business', 'day', 'research', 'issue', 'resolve', 'wait', 'third', 'business', 'day', 'still', 'negative', 'balance', 'call', 'utter', 'disappointment', 'tell', 'wait', 'apparently', 'thought', 'case', 'research', 'actually', 'waiting', 'time', 'transaction', 'reverse', 'ask', 'speak', 'supervisor', 'tell', 'wait', 'another', 'week', 'could', 'believe', 'money', 'money', 'need', 'use', 'fault', 'completely', 'lose', 'access', 'could', 'anything', 'make', 'fund', 'available', 'receive', 'reversal', 'account', 'business', 'day', 'use', 'since', 'never', 'issue', 'first', 'time', 'reach', 'customer', 'service', 'treat', 'like', 'joke', 'might', 'continue', 'use', 'service', 'longer', 'trust', 'money', 'good', 'hand', 'consider', 'use', 'reservoir', 'cash', 'flow', 'change', 'mind', 'great', 'product', 'terrible', 'customer', 'experience']"
2020-02-14 16:25:55,5,getting better looking forward to new features ,"['get', 'well', 'look', 'forward', 'new', 'feature']"
2020-02-21 14:27:39,5,looking for invite code for 50pesos hi there guys you can use my invite code for 50pesos free 3xdz86x  thank you very much,"['look', 'invite', 'code', 'hi', 'guy', 'use', 'invite', 'code', 'free', 'much']"
2020-02-26 10:57:05,5,poor customer service grabe customer service is super poor sobrang tagal sagutin yung tawag 12 or more minutes pa bago sagutin tapos parang  galit pa yung sumagot please improve your customer service it is very very very super duper poor,"['poor', 'customer', 'service', 'grabe', 'customer', 'service', 'super', 'poor', 'sobrang', 'tagal', 'sagutin', 'tawag', 'minute', 'sagutin', 'tapos', 'parang', 'galit', 'sumagot', 'improve', 'customer', 'service', 'super', 'duper', 'poor']"
2020-03-03 06:41:43,5,payment not posted a week a go when i use paymaya for my bills payment my payment was not yet posted i still have unpaid bills on my globe and primewater bills what happen kindly give me some answer regarding this this is hassle for me it is possible they cut my line because of this,"['payment', 'post', 'week', 'go', 'use', 'bill', 'payment', 'payment', 'yet', 'post', 'still', 'unpaid', 'bill', 'globe', 'primewater', 'bill', 'happen', 'kindly', 'give', 'answer', 'regard', 'hassle', 'possible', 'cut', 'line']"
2020-03-04 14:42:33,4,finger print gone why did you remove the finger print login feature tho,"['finger', 'print', 'go', 'remove', 'finger', 'print', 'login', 'feature', 'tho']"
2020-03-05 23:45:18,5,dark mode please implement ios dark mode,"['dark', 'mode', 'implement', 'io', 'dark', 'mode']"
2020-03-09 07:45:58,5, i had issues with the app before and somebody from the paymaya team advised me what to do and i was good to go thank you for the response,"['issue', 'somebody', 'team', 'advise', 'good', 'go', 'response']"
2020-03-11 12:10:39,5,bills payment just want to suggest to please add a biller citibank for credit card payment all in all paymaya is great more power,"['bill', 'payment', 'want', 'suggest', 'add', 'biller', 'citibank', 'credit', 'card', 'payment', 'great', 'power']"
2020-03-16 16:51:57,5,nice great app for mobile transactions,"['nice', 'great', 'mobile', 'transaction']"
