Topics,Alpha,Eta,Coherence
4,0.61,0.31,0.3402452410690179
4,0.61,0.61,0.3390609713517447
4,0.61,0.9099999999999999,0.3089941060165291
4,0.61,symmetric,0.34898730446998383
4,0.9099999999999999,0.01,0.3518104504987042
4,0.9099999999999999,0.31,0.3147680406334254
4,0.9099999999999999,0.61,0.27516722829717855
4,0.9099999999999999,0.9099999999999999,0.22897283696890236
4,0.9099999999999999,symmetric,0.32374980427031963
4,symmetric,0.01,0.37654131424073345
4,symmetric,0.31,0.32887835120416803
4,symmetric,0.61,0.4219451598167374
4,symmetric,0.9099999999999999,0.4443646421441617
4,symmetric,symmetric,0.3490721633835029
4,asymmetric,0.01,0.39195098585740956
4,asymmetric,0.31,0.47423352163843596
4,asymmetric,0.61,0.6041027518392503
4,asymmetric,0.9099999999999999,0.49637889777002353
4,asymmetric,symmetric,0.460412712697958
5,0.01,0.01,0.3457894277977365
5,0.01,0.31,0.45278269256495207
5,0.01,0.61,0.43231739016386256
5,0.01,0.9099999999999999,0.4376089446099776
5,0.01,symmetric,0.39347305807904187
5,0.31,0.01,0.35999812197023584
5,0.31,0.31,0.40966984061924033
5,0.31,0.61,0.43130016966548296
5,0.31,0.9099999999999999,0.44601580047242695
5,0.31,symmetric,0.40012198257970805
5,0.61,0.01,0.3220635185809261
5,0.61,0.31,0.3387002052835159
5,0.61,0.61,0.35634954995145474
5,0.61,0.9099999999999999,0.26818201949272846
5,0.61,symmetric,0.3483425014090535
5,0.9099999999999999,0.01,0.3413264730788822
5,0.9099999999999999,0.31,0.3033266895256017
5,0.9099999999999999,0.61,0.2455517423787379
5,0.9099999999999999,0.9099999999999999,0.21488036844094172
5,0.9099999999999999,symmetric,0.3253679369784212
5,symmetric,0.01,0.32218651696766176
5,symmetric,0.31,0.3931175154219179
5,symmetric,0.61,0.4290454715890921
5,symmetric,0.9099999999999999,0.41301808889344815
5,symmetric,symmetric,0.3456645289441434
5,asymmetric,0.01,0.4750701295722761
5,asymmetric,0.31,0.5624346125045159
5,asymmetric,0.61,0.6799875953594617
5,asymmetric,0.9099999999999999,0.7335267863140812
5,asymmetric,symmetric,0.4597623195118201
6,0.01,0.01,0.3745332578280854
6,0.01,0.31,0.38218704633437034
6,0.01,0.61,0.4043087138386572
6,0.01,0.9099999999999999,0.39933621453074136
6,0.01,symmetric,0.40203879611420873
6,0.31,0.01,0.36492692329696813
6,0.31,0.31,0.4224782478012139
6,0.31,0.61,0.43734694375174277
6,0.31,0.9099999999999999,0.43933911754123667
6,0.31,symmetric,0.3914810972940828
6,0.61,0.01,0.3474724254833232
6,0.61,0.31,0.3614158603023702
6,0.61,0.61,0.321685923070871
6,0.61,0.9099999999999999,0.2713921385829455
6,0.61,symmetric,0.35991817294277423
6,0.9099999999999999,0.01,0.3711350955736479
6,0.9099999999999999,0.31,0.2774298304683621
6,0.9099999999999999,0.61,0.23629483433737042
6,0.9099999999999999,0.9099999999999999,0.202291222442282
6,0.9099999999999999,symmetric,0.3485171368499145
6,symmetric,0.01,0.4129413994733156
6,symmetric,0.31,0.3541094074935817
6,symmetric,0.61,0.38073877220386154
6,symmetric,0.9099999999999999,0.4081104280978273
6,symmetric,symmetric,0.4026738014650284
6,asymmetric,0.01,0.4314699622585389
6,asymmetric,0.31,0.5902292096125934
6,asymmetric,0.61,0.5838704816507395
6,asymmetric,0.9099999999999999,0.593485416039912
6,asymmetric,symmetric,0.4032063505696782
7,0.01,0.01,0.39474964982092325
7,0.01,0.31,0.4203586469522803
7,0.01,0.61,0.5320387319911858
7,0.01,0.9099999999999999,0.5062008302444893
7,0.01,symmetric,0.4100228382824421
7,0.31,0.01,0.3902415303063464
7,0.31,0.31,0.4228841258393629
7,0.31,0.61,0.46916275628477827
7,0.31,0.9099999999999999,0.48555743657596784
7,0.31,symmetric,0.4469853642817517
7,0.61,0.01,0.35112151112083534
7,0.61,0.31,0.38531951534189196
7,0.61,0.61,0.2940851112132851
7,0.61,0.9099999999999999,0.23543380103476846
7,0.61,symmetric,0.3836221795831835
7,0.9099999999999999,0.01,0.36287828192139543
7,0.9099999999999999,0.31,0.27840790579048075
7,0.9099999999999999,0.61,0.23518162819466318
7,0.9099999999999999,0.9099999999999999,0.21341333355327333
7,0.9099999999999999,symmetric,0.37477279420702586
7,symmetric,0.01,0.4126902348779689
7,symmetric,0.31,0.4087232958491573
7,symmetric,0.61,0.43738356217001667
7,symmetric,0.9099999999999999,0.49104178777108626
7,symmetric,symmetric,0.42119402861589944
7,asymmetric,0.01,0.5162861592096483
7,asymmetric,0.31,0.5427870614959931
7,asymmetric,0.61,0.527276474719471
7,asymmetric,0.9099999999999999,0.6010963446637815
7,asymmetric,symmetric,0.504132906417137
8,0.01,0.01,0.42276063435917144
8,0.01,0.31,0.5141006804872991
8,0.01,0.61,0.5350451171298374
8,0.01,0.9099999999999999,0.5338198162060234
8,0.01,symmetric,0.5010180079516933
8,0.31,0.01,0.38427817780505846
8,0.31,0.31,0.4459879955459757
8,0.31,0.61,0.4937414812054379
8,0.31,0.9099999999999999,0.507110822688554
8,0.31,symmetric,0.41828963561741883
8,0.61,0.01,0.3658815646853949
8,0.61,0.31,0.3774978148905419
8,0.61,0.61,0.2620149100977145
8,0.61,0.9099999999999999,0.21669846184492797
8,0.61,symmetric,0.4081437160360547
8,0.9099999999999999,0.01,0.4037808648471585
8,0.9099999999999999,0.31,0.28159218678066134
8,0.9099999999999999,0.61,0.23218860685620069
8,0.9099999999999999,0.9099999999999999,0.22084886404572385
8,0.9099999999999999,symmetric,0.38455606967427003
8,symmetric,0.01,0.4104861669379807
8,symmetric,0.31,0.5254151535754342
8,symmetric,0.61,0.5303081027918111
8,symmetric,0.9099999999999999,0.5334056417643989
8,symmetric,symmetric,0.47377079471052597
8,asymmetric,0.01,0.4000700070939517
8,asymmetric,0.31,0.5007644161352854
8,asymmetric,0.61,0.7104794881406966
8,asymmetric,0.9099999999999999,0.6977588609353035
