Topics,Alpha,Eta,Coherence
2,0.01,0.01,0.39422074147824043
2,0.01,0.31,0.38541571245474116
2,0.01,0.61,0.4494996598020544
2,0.01,0.9099999999999999,0.34487636813779343
2,0.01,symmetric,0.347380878321789
2,0.31,0.01,0.4111590799123036
2,0.31,0.31,0.3689820529508019
2,0.31,0.61,0.39731576642335076
2,0.31,0.9099999999999999,0.31347910316213123
2,0.31,symmetric,0.39731576642335076
2,0.61,0.01,0.42620411221157184
2,0.61,0.31,0.3436965743157773
2,0.61,0.61,0.40982862997774344
2,0.61,0.9099999999999999,0.382588015745204
2,0.61,symmetric,0.35808173489332296
2,0.9099999999999999,0.01,0.44492093535598226
2,0.9099999999999999,0.31,0.38131890593984197
2,0.9099999999999999,0.61,0.3431871812050947
2,0.9099999999999999,0.9099999999999999,0.351967993456048
2,0.9099999999999999,symmetric,0.38650457994363796
2,symmetric,0.01,0.43018423321162735
2,symmetric,0.31,0.3390257956443714
2,symmetric,0.61,0.3568934799874409
2,symmetric,0.9099999999999999,0.3599817798951167
2,symmetric,symmetric,0.35799172296967413
2,asymmetric,0.01,0.41457229192042266
2,asymmetric,0.31,0.5697903812136431
2,asymmetric,0.61,0.5659792140983817
2,asymmetric,0.9099999999999999,0.5408793417535068
2,asymmetric,symmetric,0.5659792140983819
3,0.01,0.01,0.4478146583844011
3,0.01,0.31,0.4644838802034193
3,0.01,0.61,0.4724689148702736
3,0.01,0.9099999999999999,0.47494021360226907
3,0.01,symmetric,0.4644838802034193
3,0.31,0.01,0.4218170264135516
3,0.31,0.31,0.48492056664461
3,0.31,0.61,0.47824261317149364
3,0.31,0.9099999999999999,0.43025466602059453
3,0.31,symmetric,0.4884363782718202
3,0.61,0.01,0.4378094266766963
3,0.61,0.31,0.4375314618373709
3,0.61,0.61,0.393465801106458
3,0.61,0.9099999999999999,0.35654159757380066
3,0.61,symmetric,0.4472932573485113
3,0.9099999999999999,0.01,0.46238649387466624
3,0.9099999999999999,0.31,0.40847963661752457
3,0.9099999999999999,0.61,0.3417162889176117
3,0.9099999999999999,0.9099999999999999,0.35117295979172775
3,0.9099999999999999,symmetric,0.4105481049267922
3,symmetric,0.01,0.4218170264135516
3,symmetric,0.31,0.457988714108485
3,symmetric,0.61,0.4532128804312894
3,symmetric,0.9099999999999999,0.4600451698032031
3,symmetric,symmetric,0.45839884125942715
3,asymmetric,0.01,0.51907582344613
3,asymmetric,0.31,0.649043623039068
3,asymmetric,0.61,0.6414592387480568
3,asymmetric,0.9099999999999999,0.6193972356925537
3,asymmetric,symmetric,0.649043623039068
4,0.01,0.01,0.5341427830356277
4,0.01,0.31,0.5531099348586197
4,0.01,0.61,0.5225102498812803
4,0.01,0.9099999999999999,0.499370184784465
4,0.01,symmetric,0.5398196135543184
4,0.31,0.01,0.44714549693243233
4,0.31,0.31,0.49858870593407045
4,0.31,0.61,0.5192629245044731
4,0.31,0.9099999999999999,0.5095722802813625
4,0.31,symmetric,0.492997204932052
4,0.61,0.01,0.47707366960629666
4,0.61,0.31,0.4887308029357763
4,0.61,0.61,0.39702852920697274
4,0.61,0.9099999999999999,0.3376765610244165
4,0.61,symmetric,0.4798829664841847
4,0.9099999999999999,0.01,0.4942386239369851
4,0.9099999999999999,0.31,0.40160827274139266
4,0.9099999999999999,0.61,0.33125832974881714
4,0.9099999999999999,0.9099999999999999,0.33181950840098173
4,0.9099999999999999,symmetric,0.4414091772637926
4,symmetric,0.01,0.45900836094158626
4,symmetric,0.31,0.5212484687450797
4,symmetric,0.61,0.533846943296929
4,symmetric,0.9099999999999999,0.5295528661363165
4,symmetric,symmetric,0.5078119170013531
4,asymmetric,0.01,0.5316428480220443
4,asymmetric,0.31,0.5864048714379405
4,asymmetric,0.61,0.678952721565268
