,App Store,Topics
0,GCash Good AS,"[(0, '0.034*""good"" + 0.033*""love"" + 0.031*""convenient"" + 0.027*""use"" + 0.025*""transactions"" + 0.020*""update"" + 0.020*""need"" + 0.020*""money"" + 0.020*""bank"" + 0.019*""pay""'), (1, '0.044*""money"" + 0.038*""account"" + 0.035*""number"" + 0.033*""best"" + 0.026*""load"" + 0.025*""verified"" + 0.023*""transaction"" + 0.022*""able"" + 0.021*""transfer"" + 0.020*""get""'), (2, '0.069*""gcredit"" + 0.040*""cash"" + 0.033*""money"" + 0.027*""send"" + 0.025*""pay"" + 0.025*""use"" + 0.023*""available"" + 0.019*""time"" + 0.018*""years"" + 0.017*""save""'), (3, '0.033*""convenient"" + 0.033*""money"" + 0.029*""online"" + 0.026*""feature"" + 0.023*""banks"" + 0.022*""transfer"" + 0.021*""use"" + 0.020*""one"" + 0.020*""wallet"" + 0.013*""transactions""')]"
1,GCash Bad AS,"[(0, '0.018*""account"" + 0.018*""money"" + 0.017*""cash"" + 0.017*""use"" + 0.014*""update"" + 0.013*""service"" + 0.008*""verification"" + 0.008*""get"" + 0.008*""need"" + 0.008*""time""'), (1, '0.024*""verify"" + 0.022*""account"" + 0.016*""verified"" + 0.014*""id"" + 0.011*""load"" + 0.010*""need"" + 0.010*""get_verified"" + 0.010*""fix"" + 0.010*""try"" + 0.009*""working""'), (2, '0.019*""cash"" + 0.013*""bank"" + 0.011*""mpin"" + 0.010*""payment"" + 0.010*""load"" + 0.010*""account"" + 0.010*""error"" + 0.010*""scam"" + 0.009*""always"" + 0.008*""paid""'), (3, '0.040*""account"" + 0.027*""money"" + 0.016*""email"" + 0.014*""fix"" + 0.012*""code"" + 0.012*""already"" + 0.011*""sent"" + 0.010*""tried"" + 0.010*""load"" + 0.010*""open""'), (4, '0.021*""always"" + 0.018*""transaction"" + 0.018*""money"" + 0.016*""fix"" + 0.015*""update"" + 0.015*""gcredit"" + 0.015*""use"" + 0.011*""error"" + 0.008*""crashing"" + 0.008*""make""')]"
2,GCash Good PS,"[(0, '0.274*""good"" + 0.176*""nice"" + 0.084*""great"" + 0.068*""apps"" + 0.052*""ok"" + 0.045*""useful"" + 0.044*""excellent"" + 0.028*""awesome"" + 0.027*""helpful"" + 0.025*""amazing""'), (1, '0.091*""money"" + 0.056*""easy"" + 0.034*""thanks"" + 0.031*""send"" + 0.027*""load"" + 0.026*""wow"" + 0.024*""pay_bills"" + 0.023*""pay"" + 0.021*""transfer"" + 0.020*""much""'), (2, '0.055*""transaction"" + 0.031*""cash"" + 0.025*""update"" + 0.019*""okay"" + 0.019*""need"" + 0.018*""payment"" + 0.018*""time"" + 0.016*""transactions"" + 0.016*""best"" + 0.016*""perfect""'), (3, '0.195*""use"" + 0.169*""easy"" + 0.165*""love"" + 0.161*""convenient"" + 0.074*""fast"" + 0.032*""super"" + 0.021*""reliable"" + 0.016*""safe"" + 0.015*""helpful"" + 0.014*""used""'), (4, '0.045*""really"" + 0.032*""account"" + 0.028*""convinient"" + 0.026*""lot"" + 0.025*""maganda"" + 0.022*""helps"" + 0.016*""open"" + 0.015*""verygood"" + 0.015*""gamitin"" + 0.014*""easier""')]"
3,GCash Bad PS,"[(0, '0.049*""load"" + 0.024*""good"" + 0.020*""apps"" + 0.019*""code"" + 0.019*""update"" + 0.018*""number"" + 0.017*""open"" + 0.017*""always"" + 0.016*""buy_load"" + 0.015*""updating""'), (1, '0.046*""account"" + 0.037*""update"" + 0.026*""always"" + 0.022*""fix"" + 0.022*""need"" + 0.019*""verify"" + 0.017*""money"" + 0.015*""verified"" + 0.014*""get"" + 0.014*""use""'), (2, '0.047*""money"" + 0.030*""cash"" + 0.021*""use"" + 0.021*""transaction"" + 0.011*""pay"" + 0.011*""gcredit"" + 0.010*""bank"" + 0.009*""deducted"" + 0.008*""give"" + 0.008*""payment""'), (3, '0.048*""service"" + 0.033*""customer_service"" + 0.025*""poor"" + 0.019*""always"" + 0.019*""sucks"" + 0.018*""worst"" + 0.016*""issue"" + 0.014*""unavailable"" + 0.013*""support"" + 0.012*""ticket""'), (4, '0.027*""update"" + 0.025*""pera"" + 0.024*""wala"" + 0.021*""student_id"" + 0.016*""account"" + 0.016*""verify"" + 0.014*""id"" + 0.012*""cash"" + 0.010*""ayaw"" + 0.010*""student""')]"
4,PayMaya Good AS,"[(0, '0.028*""use"" + 0.027*""convenient"" + 0.025*""easy"" + 0.020*""really"" + 0.020*""good"" + 0.017*""great"" + 0.016*""payment"" + 0.015*""need"" + 0.014*""love"" + 0.013*""load""'), (1, '0.029*""pay"" + 0.025*""use"" + 0.023*""convenient"" + 0.022*""online"" + 0.018*""ewallet"" + 0.018*""bills"" + 0.018*""best"" + 0.017*""one"" + 0.016*""money"" + 0.015*""great""'), (2, '0.043*""bank"" + 0.040*""transfer"" + 0.024*""money"" + 0.018*""account"" + 0.017*""fee"" + 0.014*""need"" + 0.012*""support"" + 0.011*""love"" + 0.010*""tried"" + 0.010*""transaction""'), (3, '0.024*""use"" + 0.023*""customer"" + 0.019*""email"" + 0.017*""money"" + 0.016*""every"" + 0.016*""get"" + 0.012*""day"" + 0.012*""back"" + 0.012*""could"" + 0.012*""time""')]"
5,PayMaya Bad AS,"[(0, '0.030*""account"" + 0.016*""error"" + 0.015*""load"" + 0.014*""update"" + 0.014*""use"" + 0.014*""service"" + 0.014*""fix"" + 0.012*""money"" + 0.011*""tried"" + 0.010*""always""'), (1, '0.068*""account"" + 0.040*""upgrade"" + 0.039*""money"" + 0.017*""use"" + 0.016*""card"" + 0.015*""customer_service"" + 0.015*""virtual_card"" + 0.010*""back"" + 0.010*""since"" + 0.010*""time""'), (2, '0.023*""tried"" + 0.019*""bank"" + 0.019*""account"" + 0.018*""transaction"" + 0.017*""email"" + 0.016*""money"" + 0.016*""support"" + 0.014*""password"" + 0.013*""balance"" + 0.013*""add_money""')]"
6,PayMaya Good PS,"[(0, '0.071*""nice"" + 0.066*""use"" + 0.061*""easy"" + 0.050*""convenient"" + 0.049*""great"" + 0.041*""useful"" + 0.040*""apps"" + 0.025*""awesome"" + 0.020*""helpful"" + 0.019*""excellent""'), (1, '0.023*""really"" + 0.021*""best"" + 0.019*""need"" + 0.018*""ewallet"" + 0.014*""since"" + 0.013*""application"" + 0.013*""features"" + 0.012*""load"" + 0.012*""super"" + 0.011*""one""'), (2, '0.435*""good"" + 0.048*""sobrang"" + 0.034*""reliable"" + 0.032*""apps"" + 0.030*""service"" + 0.024*""worth"" + 0.021*""think"" + 0.015*""keep"" + 0.015*""verry"" + 0.014*""work""'), (3, '0.038*""online"" + 0.034*""money"" + 0.022*""transactions"" + 0.022*""pay"" + 0.017*""way"" + 0.017*""time"" + 0.016*""bills"" + 0.016*""payment"" + 0.015*""get"" + 0.012*""safe""'), (4, '0.041*""love"" + 0.040*""bills"" + 0.030*""feature"" + 0.028*""pay"" + 0.016*""qr_payment"" + 0.016*""really"" + 0.015*""transaction"" + 0.014*""happy"" + 0.014*""lot"" + 0.014*""need""')]"
7,PayMaya Bad PS,"[(0, '0.021*""customer_service"" + 0.020*""service"" + 0.019*""always"" + 0.018*""error"" + 0.017*""register"" + 0.013*""worst"" + 0.013*""support"" + 0.012*""load"" + 0.012*""good"" + 0.011*""response""'), (1, '0.080*""account"" + 0.025*""log"" + 0.020*""use"" + 0.013*""fix"" + 0.013*""number"" + 0.012*""response"" + 0.012*""already"" + 0.012*""open"" + 0.012*""update"" + 0.012*""need""'), (2, '0.032*""pera"" + 0.029*""wala"" + 0.029*""account"" + 0.017*""load"" + 0.017*""upgrade"" + 0.012*""hirap"" + 0.012*""ayaw"" + 0.011*""ok"" + 0.009*""apps"" + 0.008*""pwede""'), (3, '0.079*""upgrade"" + 0.067*""account"" + 0.030*""id"" + 0.015*""upgrading"" + 0.015*""ids"" + 0.013*""use"" + 0.013*""hard"" + 0.011*""tried"" + 0.010*""verify"" + 0.010*""verification""'), (4, '0.092*""money"" + 0.031*""account"" + 0.022*""send"" + 0.022*""cash"" + 0.018*""bank"" + 0.017*""add_money"" + 0.017*""use"" + 0.015*""transfer"" + 0.014*""back"" + 0.014*""transaction""')]"
