,App Store,Topics
0,GCash Good AS,"[(0, '0.012*""money"" + 0.011*""convenient"" + 0.010*""use"" + 0.009*""love"" + 0.009*""good"" + 0.007*""transactions"" + 0.007*""pay"" + 0.007*""bank"" + 0.006*""bills"" + 0.006*""number""'), (1, '0.006*""id"" + 0.006*""able"" + 0.004*""pwede"" + 0.004*""face"" + 0.004*""need"" + 0.003*""years"" + 0.003*""verified"" + 0.003*""little"" + 0.003*""available"" + 0.003*""un""'), (2, '0.003*""ginvest"" + 0.003*""invest"" + 0.003*""technical"" + 0.003*""issues"" + 0.002*""good"" + 0.002*""new"" + 0.002*""excuse"" + 0.002*""intoduced"" + 0.002*""term"" + 0.002*""learn""')]"
1,GCash Bad AS,"[(0, '0.012*""cash"" + 0.011*""use"" + 0.011*""update"" + 0.009*""fix"" + 0.008*""verify"" + 0.008*""service"" + 0.007*""money"" + 0.007*""always"" + 0.006*""need"" + 0.005*""working""'), (1, '0.019*""money"" + 0.007*""already"" + 0.007*""tried"" + 0.006*""ticket"" + 0.006*""fix"" + 0.005*""bank"" + 0.005*""problem"" + 0.005*""get"" + 0.005*""load"" + 0.004*""use""'), (2, '0.004*""support"" + 0.003*""use"" + 0.003*""wala"" + 0.003*""one"" + 0.002*""php"" + 0.002*""since"" + 0.002*""money"" + 0.002*""bdo"" + 0.002*""fee"" + 0.002*""game""')]"
2,GCash Good PS,"[(0, '0.171*""good"" + 0.108*""nice"" + 0.057*""great"" + 0.042*""apps"" + 0.034*""useful"" + 0.033*""ok"" + 0.033*""easy"" + 0.032*""use"" + 0.030*""convenient"" + 0.030*""love""'), (1, '0.033*""money"" + 0.021*""easy"" + 0.013*""cash"" + 0.012*""load"" + 0.011*""use"" + 0.011*""need"" + 0.010*""send"" + 0.009*""pay"" + 0.009*""payment"" + 0.009*""pay_bills""'), (2, '0.011*""maganda"" + 0.010*""update"" + 0.009*""verygood"" + 0.007*""gamitin"" + 0.006*""wala"" + 0.006*""ganda"" + 0.005*""pera"" + 0.004*""salamat"" + 0.004*""load"" + 0.004*""cash""')]"
3,GCash Bad PS,"[(0, '0.020*""update"" + 0.018*""always"" + 0.014*""use"" + 0.012*""verify"" + 0.012*""need"" + 0.011*""fix"" + 0.008*""open"" + 0.008*""time"" + 0.007*""verified"" + 0.007*""get""'), (1, '0.032*""money"" + 0.014*""transaction"" + 0.013*""cash"" + 0.012*""load"" + 0.008*""pesos"" + 0.007*""bank"" + 0.006*""charge"" + 0.006*""fee"" + 0.006*""deducted"" + 0.006*""transfer""'), (2, '0.014*""update"" + 0.013*""wala"" + 0.012*""pera"" + 0.009*""load"" + 0.006*""ayaw"" + 0.005*""cash"" + 0.004*""hirap"" + 0.004*""laging"" + 0.004*""lagi"" + 0.004*""bulok""')]"
4,PayMaya Good AS,"[(0, '0.014*""use"" + 0.013*""convenient"" + 0.011*""easy"" + 0.009*""pay"" + 0.008*""great"" + 0.007*""need"" + 0.007*""good"" + 0.007*""love"" + 0.006*""really"" + 0.006*""bills""'), (1, '0.005*""money"" + 0.004*""cash"" + 0.003*""online"" + 0.003*""customer"" + 0.003*""use"" + 0.003*""every"" + 0.003*""feature"" + 0.003*""issue"" + 0.003*""email"" + 0.002*""pay""'), (2, '0.004*""customer_service"" + 0.003*""poor"" + 0.003*""internet"" + 0.003*""log"" + 0.003*""years"" + 0.002*""transfer"" + 0.002*""face"" + 0.002*""tumawag"" + 0.002*""error"" + 0.002*""long""')]"
5,PayMaya Bad AS,"[(0, '0.016*""money"" + 0.012*""upgrade"" + 0.010*""use"" + 0.008*""error"" + 0.008*""customer_service"" + 0.008*""service"" + 0.006*""tried"" + 0.006*""load"" + 0.006*""time"" + 0.006*""update""'), (1, '0.015*""upgrade"" + 0.010*""card"" + 0.008*""virtual_card"" + 0.007*""add_money"" + 0.007*""tried"" + 0.007*""since"" + 0.005*""password"" + 0.005*""use"" + 0.005*""service"" + 0.004*""already""'), (2, '0.020*""money"" + 0.012*""bank"" + 0.009*""use"" + 0.008*""tried"" + 0.007*""transaction"" + 0.006*""customer_service"" + 0.006*""balance"" + 0.006*""transfer"" + 0.006*""already"" + 0.005*""add_money""')]"
6,PayMaya Good PS,"[(0, '0.090*""good"" + 0.064*""nice"" + 0.048*""great"" + 0.044*""easy"" + 0.040*""use"" + 0.039*""useful"" + 0.038*""convenient"" + 0.033*""apps"" + 0.023*""love"" + 0.022*""awesome""'), (1, '0.007*""gamitin"" + 0.007*""since"" + 0.006*""load"" + 0.006*""maganda"" + 0.005*""okay"" + 0.005*""user"" + 0.005*""pera"" + 0.005*""smooth"" + 0.005*""transaction"" + 0.004*""cashback""'), (2, '0.015*""money"" + 0.015*""need"" + 0.011*""pay"" + 0.009*""time"" + 0.008*""really"" + 0.008*""bills"" + 0.008*""load"" + 0.007*""lot"" + 0.006*""helps"" + 0.006*""online""')]"
7,PayMaya Bad PS,"[(0, '0.015*""money"" + 0.015*""upgrade"" + 0.012*""use"" + 0.008*""customer_service"" + 0.007*""email"" + 0.007*""error"" + 0.007*""get"" + 0.007*""tried"" + 0.006*""already"" + 0.006*""need""'), (1, '0.011*""wala"" + 0.011*""pera"" + 0.008*""upgrade"" + 0.008*""load"" + 0.004*""ayaw"" + 0.004*""id"" + 0.004*""hirap"" + 0.004*""apps"" + 0.003*""error"" + 0.003*""number""'), (2, '0.002*""id"" + 0.002*""video"" + 0.002*""load"" + 0.001*""hirap"" + 0.001*""password"" + 0.001*""upgrade"" + 0.001*""picture"" + 0.001*""maopen"" + 0.001*""hnd"" + 0.001*""alam""')]"
