,App Store,Topics
0,GCash Good AS,"[(0, '0.015*""use"" + 0.014*""money"" + 0.012*""convenient"" + 0.011*""cash"" + 0.009*""gcredit"" + 0.009*""better"" + 0.008*""easy"" + 0.007*""load"" + 0.007*""much"" + 0.006*""love""'), (1, '0.015*""love"" + 0.013*""money"" + 0.013*""convenient"" + 0.009*""best"" + 0.008*""verified"" + 0.008*""great"" + 0.007*""pay"" + 0.007*""transactions"" + 0.006*""use"" + 0.006*""bank""'), (2, '0.019*""good"" + 0.010*""number"" + 0.009*""hope"" + 0.008*""money"" + 0.008*""pay"" + 0.008*""really"" + 0.008*""transactions"" + 0.008*""use"" + 0.008*""bills"" + 0.008*""update""')]"
1,GCash Bad AS,"[(0, '0.014*""money"" + 0.010*""fix"" + 0.009*""cash"" + 0.008*""service"" + 0.008*""update"" + 0.008*""use"" + 0.008*""verify"" + 0.006*""pera"" + 0.005*""need"" + 0.005*""tried""'), (1, '0.007*""use"" + 0.007*""cash"" + 0.005*""transaction"" + 0.005*""already"" + 0.005*""money"" + 0.005*""fix"" + 0.005*""one"" + 0.004*""mpin"" + 0.004*""issue"" + 0.004*""get""'), (2, '0.013*""money"" + 0.011*""always"" + 0.008*""update"" + 0.008*""use"" + 0.007*""load"" + 0.007*""time"" + 0.005*""error"" + 0.005*""fix"" + 0.005*""cash"" + 0.005*""need""')]"
2,GCash Good PS,"[(0, '0.186*""good"" + 0.118*""nice"" + 0.061*""great"" + 0.046*""apps"" + 0.036*""ok"" + 0.035*""useful"" + 0.031*""excellent"" + 0.031*""use"" + 0.030*""love"" + 0.030*""convenient""'), (1, '0.035*""easy"" + 0.030*""money"" + 0.017*""fast"" + 0.017*""transaction"" + 0.014*""use"" + 0.013*""thanks"" + 0.012*""cash"" + 0.011*""load"" + 0.010*""need"" + 0.010*""send""'), (2, '0.014*""cool"" + 0.011*""maganda"" + 0.010*""perfect"" + 0.009*""update"" + 0.008*""verygood"" + 0.007*""gamitin"" + 0.005*""wala"" + 0.005*""ganda"" + 0.005*""pera"" + 0.004*""load""')]"
3,GCash Bad PS,"[(0, '0.018*""update"" + 0.017*""money"" + 0.017*""always"" + 0.014*""use"" + 0.010*""fix"" + 0.010*""need"" + 0.008*""cash"" + 0.008*""get"" + 0.008*""time"" + 0.007*""open""'), (1, '0.015*""verify"" + 0.014*""update"" + 0.014*""student_id"" + 0.014*""id"" + 0.012*""wala"" + 0.012*""load"" + 0.012*""pera"" + 0.006*""ayaw"" + 0.005*""verification"" + 0.005*""option""'), (2, '0.016*""cash"" + 0.014*""charge"" + 0.014*""fee"" + 0.007*""service"" + 0.006*""charges"" + 0.004*""transaction"" + 0.003*""fees"" + 0.003*""pandemic"" + 0.003*""limit"" + 0.003*""laki""')]"
4,PayMaya Good AS,"[(0, '0.014*""use"" + 0.013*""convenient"" + 0.009*""easy"" + 0.006*""love"" + 0.006*""pay"" + 0.005*""really"" + 0.005*""good"" + 0.005*""money"" + 0.005*""need"" + 0.005*""payment""'), (1, '0.005*""great"" + 0.005*""easy"" + 0.005*""money"" + 0.004*""online"" + 0.003*""cash"" + 0.003*""pay"" + 0.003*""feature"" + 0.003*""one"" + 0.003*""service"" + 0.003*""thanks""'), (2, '0.009*""use"" + 0.008*""pay"" + 0.006*""bills"" + 0.006*""best"" + 0.006*""online"" + 0.006*""convenient"" + 0.006*""good"" + 0.006*""great"" + 0.005*""need"" + 0.005*""payment""')]"
5,PayMaya Bad AS,"[(0, '0.014*""money"" + 0.011*""upgrade"" + 0.009*""use"" + 0.008*""tried"" + 0.007*""error"" + 0.007*""customer_service"" + 0.006*""service"" + 0.006*""since"" + 0.005*""email"" + 0.005*""card""'), (1, '0.008*""money"" + 0.004*""virtual_card"" + 0.004*""customer_service"" + 0.004*""upgrade"" + 0.004*""service"" + 0.004*""get"" + 0.003*""online"" + 0.003*""card"" + 0.003*""balance"" + 0.003*""fee""'), (2, '0.003*""replika"" + 0.002*""get"" + 0.002*""us"" + 0.002*""really"" + 0.002*""hope"" + 0.002*""credentials"" + 0.002*""worse"" + 0.002*""back"" + 0.002*""best"" + 0.002*""users""')]"
6,PayMaya Good PS,"[(0, '0.052*""good"" + 0.038*""nice"" + 0.027*""great"" + 0.027*""easy"" + 0.026*""use"" + 0.023*""convenient"" + 0.022*""useful"" + 0.020*""apps"" + 0.014*""love"" + 0.013*""awesome""'), (1, '0.007*""gamitin"" + 0.006*""load"" + 0.005*""sobrang"" + 0.005*""pera"" + 0.005*""maganda"" + 0.004*""mas"" + 0.004*""pwede"" + 0.004*""bills"" + 0.003*""upgrade"" + 0.003*""ewallet""'), (2, '0.002*""order"" + 0.002*""partner"" + 0.002*""log"" + 0.002*""qr_code"" + 0.002*""need"" + 0.002*""install"" + 0.002*""house"" + 0.001*""trying"" + 0.001*""friend"" + 0.001*""hard""')]"
7,PayMaya Bad PS,"[(0, '0.016*""money"" + 0.016*""upgrade"" + 0.010*""use"" + 0.009*""customer_service"" + 0.008*""error"" + 0.007*""tried"" + 0.007*""email"" + 0.007*""get"" + 0.007*""response"" + 0.007*""already""'), (1, '0.015*""use"" + 0.009*""card"" + 0.007*""open"" + 0.006*""online"" + 0.006*""number"" + 0.006*""pay"" + 0.004*""load"" + 0.004*""money"" + 0.003*""pin"" + 0.003*""virtual_card""'), (2, '0.013*""wala"" + 0.013*""pera"" + 0.007*""upgrade"" + 0.007*""load"" + 0.006*""hirap"" + 0.006*""id"" + 0.005*""ayaw"" + 0.004*""apps"" + 0.004*""pwede"" + 0.003*""bulok""')]"
