,App Store,Topics
0,GCash Good AS,"[(0, '0.157*""money"" + 0.097*""pay"" + 0.080*""bills"" + 0.079*""transactions"" + 0.068*""bank"" + 0.066*""cash"" + 0.062*""use"" + 0.062*""online"" + 0.059*""transfer"" + 0.052*""convenient""'), (1, '0.150*""good"" + 0.143*""love"" + 0.121*""convenient"" + 0.092*""use"" + 0.081*""need"" + 0.072*""great"" + 0.061*""transaction"" + 0.060*""time"" + 0.049*""useful"" + 0.048*""easy""')]"
1,GCash Bad AS,"[(0, '0.044*""money"" + 0.022*""load"" + 0.017*""use"" + 0.016*""already"" + 0.015*""tried"" + 0.015*""fix"" + 0.013*""verify"" + 0.013*""get"" + 0.012*""transaction"" + 0.012*""mpin""'), (1, '0.039*""money"" + 0.026*""service"" + 0.020*""use"" + 0.019*""customer_service"" + 0.018*""working"" + 0.018*""bank"" + 0.017*""log"" + 0.013*""transaction"" + 0.013*""time"" + 0.013*""ticket""'), (2, '0.025*""verify"" + 0.023*""verification"" + 0.022*""fix"" + 0.021*""verified"" + 0.017*""need"" + 0.016*""gcredit"" + 0.015*""student_id"" + 0.015*""already"" + 0.014*""use"" + 0.014*""tried""'), (3, '0.057*""cash"" + 0.046*""update"" + 0.025*""always"" + 0.021*""pera"" + 0.020*""use"" + 0.016*""paypal"" + 0.016*""wala"" + 0.014*""fix"" + 0.014*""service"" + 0.013*""worst""')]"
2,GCash Good PS,"[(0, '0.259*""good"" + 0.165*""nice"" + 0.077*""great"" + 0.065*""apps"" + 0.049*""ok"" + 0.048*""useful"" + 0.042*""excellent"" + 0.030*""helpful"" + 0.027*""awesome"" + 0.024*""amazing""'), (1, '0.100*""easy"" + 0.076*""use"" + 0.062*""convenient"" + 0.052*""money"" + 0.029*""fast"" + 0.026*""transaction"" + 0.018*""send"" + 0.015*""cash"" + 0.014*""pay_bills"" + 0.014*""payment""'), (2, '0.098*""love"" + 0.019*""update"" + 0.016*""load"" + 0.015*""much"" + 0.014*""maganda"" + 0.013*""give"" + 0.013*""cash"" + 0.011*""hope"" + 0.010*""really"" + 0.010*""problem""')]"
3,GCash Bad PS,"[(0, '0.054*""update"" + 0.045*""always"" + 0.026*""need"" + 0.025*""use"" + 0.023*""open"" + 0.019*""fix"" + 0.018*""good"" + 0.015*""error"" + 0.014*""time"" + 0.013*""log""'), (1, '0.022*""code"" + 0.022*""email"" + 0.018*""number"" + 0.017*""send"" + 0.014*""already"" + 0.013*""customer_service"" + 0.012*""register"" + 0.012*""worst"" + 0.012*""ticket"" + 0.011*""get""'), (2, '0.065*""money"" + 0.030*""cash"" + 0.015*""load"" + 0.015*""service"" + 0.015*""transaction"" + 0.013*""back"" + 0.013*""send"" + 0.010*""bank"" + 0.009*""pesos"" + 0.009*""give""'), (3, '0.028*""pera"" + 0.028*""load"" + 0.027*""wala"" + 0.026*""update"" + 0.013*""cash"" + 0.012*""ayaw"" + 0.009*""ok"" + 0.008*""tagal"" + 0.008*""bulok"" + 0.008*""laging""'), (4, '0.079*""verify"" + 0.055*""verified"" + 0.052*""id"" + 0.031*""student_id"" + 0.029*""verification"" + 0.023*""fully_verified"" + 0.020*""get"" + 0.015*""option"" + 0.015*""student"" + 0.013*""picture""')]"
4,PayMaya Good AS,"[(0, '0.093*""money"" + 0.057*""pay"" + 0.052*""bills"" + 0.050*""feature"" + 0.050*""use"" + 0.037*""sobrang"" + 0.037*""super"" + 0.037*""transactions"" + 0.034*""useful"" + 0.029*""since""'), (1, '0.065*""best"" + 0.056*""need"" + 0.052*""ewallet"" + 0.048*""one"" + 0.048*""good"" + 0.045*""load"" + 0.041*""transaction"" + 0.035*""time"" + 0.034*""convenient"" + 0.032*""users""'), (2, '0.118*""payment"" + 0.099*""good"" + 0.047*""user"" + 0.037*""since"" + 0.035*""service"" + 0.032*""promos"" + 0.029*""really"" + 0.029*""best"" + 0.028*""great"" + 0.026*""plus""'), (3, '0.111*""convenient"" + 0.094*""use"" + 0.071*""great"" + 0.069*""pay"" + 0.044*""easy"" + 0.042*""online"" + 0.040*""really"" + 0.037*""thanks"" + 0.026*""bills"" + 0.024*""nice""'), (4, '0.110*""easy"" + 0.087*""love"" + 0.077*""use"" + 0.067*""bank"" + 0.062*""fast"" + 0.049*""transfer"" + 0.042*""awesome"" + 0.030*""review"" + 0.028*""transaction"" + 0.028*""need""')]"
5,PayMaya Bad AS,"[(0, '0.037*""upgrade"" + 0.033*""service"" + 0.027*""use"" + 0.025*""load"" + 0.021*""add_money"" + 0.021*""tried"" + 0.021*""time"" + 0.020*""since"" + 0.018*""customer_service"" + 0.017*""fix""'), (1, '0.110*""money"" + 0.030*""back"" + 0.028*""customer_service"" + 0.027*""transaction"" + 0.026*""bank"" + 0.025*""password"" + 0.024*""tried"" + 0.021*""already"" + 0.020*""email"" + 0.019*""sent""'), (2, '0.081*""update"" + 0.075*""id"" + 0.056*""upgrade"" + 0.043*""pay"" + 0.038*""open"" + 0.031*""transfer"" + 0.028*""work"" + 0.023*""ids"" + 0.022*""need"" + 0.019*""code""'), (3, '0.062*""error"" + 0.051*""money"" + 0.044*""log"" + 0.044*""internet_connection"" + 0.040*""slow"" + 0.032*""internet"" + 0.028*""days"" + 0.026*""tried"" + 0.019*""reply"" + 0.018*""customer_service""'), (4, '0.086*""virtual_card"" + 0.063*""card"" + 0.062*""upgrade"" + 0.056*""use"" + 0.034*""online"" + 0.034*""blocked"" + 0.023*""since"" + 0.021*""need"" + 0.020*""upgrading"" + 0.018*""without""')]"
6,PayMaya Good PS,"[(0, '0.164*""good"" + 0.116*""nice"" + 0.079*""great"" + 0.070*""apps"" + 0.065*""useful"" + 0.044*""convenient"" + 0.041*""awesome"" + 0.037*""love"" + 0.030*""excellent"" + 0.029*""helpful""'), (1, '0.096*""use"" + 0.077*""easy"" + 0.036*""best"" + 0.021*""money"" + 0.021*""really"" + 0.016*""convenient"" + 0.014*""much"" + 0.011*""online"" + 0.011*""give"" + 0.011*""love""'), (2, '0.037*""pay"" + 0.026*""bills"" + 0.024*""online"" + 0.022*""time"" + 0.022*""need"" + 0.019*""money"" + 0.017*""transactions"" + 0.017*""payment"" + 0.012*""since"" + 0.009*""convenient""'), (3, '0.018*""pera"" + 0.017*""gamitin"" + 0.016*""load"" + 0.012*""mas"" + 0.011*""gamit"" + 0.010*""bills"" + 0.010*""need"" + 0.010*""sobrang"" + 0.010*""cashback"" + 0.010*""super""'), (4, '0.020*""ewallet"" + 0.018*""really"" + 0.017*""users"" + 0.014*""features"" + 0.012*""every"" + 0.011*""feature"" + 0.010*""better"" + 0.010*""convenience"" + 0.009*""security"" + 0.009*""qr_payment""')]"
7,PayMaya Bad PS,"[(0, '0.029*""upgrade"" + 0.019*""load"" + 0.019*""money"" + 0.018*""use"" + 0.015*""good"" + 0.014*""send"" + 0.013*""pera"" + 0.012*""useless"" + 0.012*""wala"" + 0.011*""apps""'), (1, '0.034*""error"" + 0.031*""log"" + 0.025*""always"" + 0.025*""fix"" + 0.025*""register"" + 0.023*""server"" + 0.020*""try"" + 0.018*""response"" + 0.018*""tried"" + 0.018*""get""'), (2, '0.041*""upgrade"" + 0.026*""use"" + 0.024*""card"" + 0.021*""id"" + 0.018*""number"" + 0.016*""virtual_card"" + 0.013*""need"" + 0.012*""duplicate"" + 0.012*""old"" + 0.011*""ids""'), (3, '0.034*""money"" + 0.025*""customer_service"" + 0.019*""support"" + 0.018*""email"" + 0.015*""service"" + 0.015*""worst"" + 0.014*""already"" + 0.012*""response"" + 0.012*""reply"" + 0.010*""received""')]"
