,App Store,Topics
0,GCash Good AS,"[(0, '0.013*""money"" + 0.011*""convenient"" + 0.011*""love"" + 0.009*""good"" + 0.008*""use"" + 0.008*""pay"" + 0.007*""bills"" + 0.006*""bank"" + 0.006*""cash"" + 0.006*""time""'), (1, '0.008*""use"" + 0.007*""transactions"" + 0.006*""need"" + 0.005*""best"" + 0.004*""money"" + 0.004*""bank"" + 0.004*""lot"" + 0.004*""convenient"" + 0.004*""since"" + 0.004*""paying""'), (2, '0.005*""id"" + 0.004*""good"" + 0.004*""face"" + 0.003*""actually"" + 0.003*""verified"" + 0.003*""security"" + 0.002*""proceed"" + 0.002*""invest"" + 0.002*""gsave"" + 0.002*""issues""'), (3, '0.005*""update"" + 0.004*""gforest"" + 0.004*""problem"" + 0.003*""force"" + 0.003*""return"" + 0.003*""details"" + 0.003*""people"" + 0.003*""put"" + 0.003*""option"" + 0.003*""know""')]"
1,GCash Bad AS,"[(0, '0.011*""fix"" + 0.011*""money"" + 0.011*""update"" + 0.010*""use"" + 0.009*""cash"" + 0.007*""service"" + 0.007*""always"" + 0.007*""need"" + 0.006*""load"" + 0.006*""verify""'), (1, '0.013*""money"" + 0.007*""use"" + 0.006*""customer_service"" + 0.006*""email"" + 0.005*""already"" + 0.005*""verification"" + 0.004*""get"" + 0.004*""gcredit"" + 0.004*""transaction"" + 0.004*""bank""'), (2, '0.008*""money"" + 0.005*""stupid"" + 0.005*""verify"" + 0.004*""customer_service"" + 0.004*""time"" + 0.003*""update"" + 0.003*""use"" + 0.003*""get"" + 0.003*""service"" + 0.002*""wala""'), (3, '0.012*""cash"" + 0.004*""wala"" + 0.003*""service"" + 0.003*""support"" + 0.003*""money"" + 0.003*""charge"" + 0.003*""use"" + 0.002*""since"" + 0.002*""user"" + 0.002*""used""'), (4, '0.003*""money"" + 0.002*""data"" + 0.002*""people"" + 0.002*""forest"" + 0.002*""bulok"" + 0.002*""worst"" + 0.001*""thief"" + 0.001*""accept"" + 0.001*""energy"" + 0.001*""around""')]"
2,GCash Good PS,"[(0, '0.171*""good"" + 0.108*""nice"" + 0.058*""great"" + 0.043*""apps"" + 0.037*""useful"" + 0.033*""ok"" + 0.032*""use"" + 0.031*""love"" + 0.031*""easy"" + 0.029*""excellent""'), (1, '0.035*""money"" + 0.027*""easy"" + 0.015*""cash"" + 0.013*""load"" + 0.013*""use"" + 0.011*""need"" + 0.011*""send"" + 0.011*""pay_bills"" + 0.010*""pay"" + 0.009*""time""'), (2, '0.039*""wow"" + 0.020*""update"" + 0.012*""big"" + 0.008*""thumbs"" + 0.006*""wala"" + 0.005*""bad"" + 0.004*""install"" + 0.003*""fully_verified"" + 0.003*""cash"" + 0.003*""pandemic""'), (3, '0.021*""okay"" + 0.017*""maganda"" + 0.013*""verygood"" + 0.011*""gamitin"" + 0.007*""pera"" + 0.006*""ganda"" + 0.005*""mabilis"" + 0.005*""madali"" + 0.005*""salamat"" + 0.004*""ayos""'), (4, '0.006*""well"" + 0.005*""loved"" + 0.003*""oks"" + 0.003*""done"" + 0.003*""credit"" + 0.002*""home"" + 0.002*""food"" + 0.002*""loan"" + 0.002*""god"" + 0.001*""purpose""')]"
3,GCash Bad PS,"[(0, '0.018*""update"" + 0.016*""always"" + 0.016*""money"" + 0.013*""use"" + 0.010*""need"" + 0.010*""verify"" + 0.010*""fix"" + 0.008*""cash"" + 0.007*""time"" + 0.007*""open""'), (1, '0.013*""cash"" + 0.011*""id"" + 0.008*""valid_id"" + 0.006*""gcredit"" + 0.006*""worst"" + 0.005*""passport"" + 0.005*""pera"" + 0.005*""picture"" + 0.005*""clear"" + 0.004*""charge""'), (2, '0.013*""update"" + 0.013*""wala"" + 0.011*""pera"" + 0.009*""load"" + 0.007*""ayaw"" + 0.005*""laging"" + 0.005*""lagi"" + 0.004*""bulok"" + 0.004*""cash"" + 0.004*""hirap""'), (3, '0.002*""fake"" + 0.001*""love"" + 0.001*""sobrang_bagal"" + 0.001*""lmao"" + 0.001*""tm"" + 0.000*""shutdown"" + 0.000*""work_properly"" + 0.000*""program"" + 0.000*""csr"" + 0.000*""tng""'), (4, '0.005*""nio"" + 0.004*""pwede"" + 0.003*""id"" + 0.003*""wla"" + 0.003*""makapag"" + 0.003*""pala"" + 0.002*""tin_id"" + 0.002*""load"" + 0.002*""verify"" + 0.002*""pera""')]"
4,PayMaya Good AS,"[(0, '0.014*""use"" + 0.012*""convenient"" + 0.011*""easy"" + 0.008*""great"" + 0.007*""pay"" + 0.007*""money"" + 0.007*""good"" + 0.007*""love"" + 0.006*""really"" + 0.006*""online""'), (1, '0.007*""payment"" + 0.006*""pay"" + 0.006*""need"" + 0.004*""bills"" + 0.004*""convenient"" + 0.003*""email"" + 0.003*""us"" + 0.003*""since"" + 0.003*""good"" + 0.003*""money""'), (2, '0.003*""ewallet"" + 0.002*""first"" + 0.002*""choose"" + 0.002*""told"" + 0.002*""pandemic"" + 0.002*""bills"" + 0.001*""business"" + 0.001*""could"" + 0.001*""issue"" + 0.001*""comes""'), (3, '0.002*""tumawag"" + 0.002*""supervisor"" + 0.002*""years"" + 0.001*""pera"" + 0.001*""tatawag"" + 0.001*""nangako"" + 0.001*""ngaun"" + 0.001*""brt"" + 0.001*""tested"" + 0.001*""innovation""')]"
5,PayMaya Bad AS,"[(0, '0.018*""money"" + 0.009*""upgrade"" + 0.009*""load"" + 0.008*""customer_service"" + 0.008*""service"" + 0.006*""tried"" + 0.006*""time"" + 0.006*""bank"" + 0.006*""card"" + 0.006*""add_money""'), (1, '0.014*""upgrade"" + 0.012*""use"" + 0.012*""money"" + 0.008*""since"" + 0.008*""error"" + 0.007*""customer_service"" + 0.006*""virtual_card"" + 0.006*""tried"" + 0.006*""service"" + 0.006*""pay""'), (2, '0.012*""money"" + 0.009*""tried"" + 0.009*""password"" + 0.006*""email"" + 0.006*""support"" + 0.006*""use"" + 0.005*""get"" + 0.005*""always"" + 0.005*""back"" + 0.005*""since""')]"
6,PayMaya Good PS,"[(0, '0.092*""good"" + 0.065*""nice"" + 0.049*""great"" + 0.044*""easy"" + 0.040*""useful"" + 0.039*""use"" + 0.038*""convenient"" + 0.033*""apps"" + 0.023*""awesome"" + 0.022*""love""'), (1, '0.072*""ok"" + 0.023*""happy"" + 0.021*""convinient"" + 0.020*""experience"" + 0.011*""use"" + 0.009*""services"" + 0.009*""download"" + 0.009*""maganda"" + 0.008*""helpfull"" + 0.008*""simple""'), (2, '0.022*""money"" + 0.017*""load"" + 0.016*""need"" + 0.011*""bills"" + 0.009*""time"" + 0.009*""pay"" + 0.008*""really"" + 0.008*""since"" + 0.008*""wow"" + 0.007*""online""'), (3, '0.012*""okay"" + 0.012*""smooth"" + 0.008*""security"" + 0.007*""transaction"" + 0.006*""keep"" + 0.006*""fee"" + 0.005*""needs"" + 0.005*""problem"" + 0.005*""maganda"" + 0.004*""cash""'), (4, '0.017*""lot"" + 0.016*""helps"" + 0.013*""pandemic"" + 0.012*""promos"" + 0.012*""hope"" + 0.009*""us"" + 0.008*""payment"" + 0.008*""cashback"" + 0.007*""bills"" + 0.007*""people""')]"
7,PayMaya Bad PS,"[(0, '0.016*""upgrade"" + 0.013*""money"" + 0.012*""use"" + 0.008*""customer_service"" + 0.007*""error"" + 0.007*""email"" + 0.007*""get"" + 0.006*""tried"" + 0.006*""response"" + 0.006*""already""'), (1, '0.016*""load"" + 0.012*""money"" + 0.006*""add_money"" + 0.005*""pesos"" + 0.004*""bank"" + 0.004*""wala"" + 0.003*""transaction"" + 0.003*""transfer"" + 0.003*""mastercard"" + 0.003*""received""'), (2, '0.011*""pera"" + 0.010*""wala"" + 0.005*""load"" + 0.003*""nio"" + 0.003*""pumasok"" + 0.003*""wag"" + 0.002*""dumating"" + 0.002*""hnd"" + 0.002*""inyo"" + 0.002*""ok""'), (3, '0.002*""aq"" + 0.002*""un"" + 0.001*""ngaun"" + 0.001*""nman"" + 0.001*""maopen"" + 0.001*""realme"" + 0.001*""sss"" + 0.001*""nyu"" + 0.001*""dami"" + 0.001*""mahigit""'), (4, '0.004*""pera"" + 0.002*""tagal"" + 0.002*""wla"" + 0.002*""nato"" + 0.002*""apps"" + 0.001*""tas"" + 0.001*""wala"" + 0.001*""ayaw"" + 0.001*""kelan"" + 0.001*""makuha""')]"
