,App Store,Topics
0,GCash Good AS,"[(0, '0.012*""convenient"" + 0.011*""use"" + 0.011*""money"" + 0.010*""love"" + 0.008*""good"" + 0.007*""cash"" + 0.007*""bank"" + 0.007*""easy"" + 0.006*""update"" + 0.006*""transactions""'), (1, '0.008*""money"" + 0.007*""best"" + 0.006*""need"" + 0.005*""since"" + 0.005*""pay"" + 0.005*""able"" + 0.004*""good"" + 0.004*""verified"" + 0.004*""go"" + 0.004*""savings""'), (2, '0.005*""number"" + 0.005*""pay"" + 0.003*""good"" + 0.003*""bills"" + 0.003*""made"" + 0.003*""wrong"" + 0.003*""send"" + 0.002*""time"" + 0.002*""really"" + 0.002*""customer_service""')]"
1,GCash Bad AS,"[(0, '0.016*""money"" + 0.011*""use"" + 0.011*""fix"" + 0.010*""update"" + 0.009*""cash"" + 0.008*""verify"" + 0.008*""service"" + 0.006*""need"" + 0.006*""already"" + 0.006*""tried""'), (1, '0.004*""one"" + 0.004*""transaction"" + 0.004*""get"" + 0.004*""support"" + 0.004*""bank"" + 0.004*""mpin"" + 0.004*""money"" + 0.003*""days"" + 0.003*""cash"" + 0.003*""transactions""'), (2, '0.005*""always"" + 0.004*""load"" + 0.003*""win"" + 0.003*""mastercard"" + 0.003*""rebate"" + 0.003*""time"" + 0.003*""money"" + 0.002*""wala"" + 0.002*""worst"" + 0.002*""cash""'), (3, '0.010*""cash"" + 0.006*""bank"" + 0.004*""transaction"" + 0.004*""limit"" + 0.004*""charge"" + 0.003*""money"" + 0.003*""use"" + 0.003*""linked"" + 0.003*""support"" + 0.003*""forest""'), (4, '0.002*""transaction"" + 0.002*""user"" + 0.002*""transaction_history"" + 0.001*""real_time"" + 0.001*""error"" + 0.001*""keyboard"" + 0.001*""online"" + 0.001*""paying_bills"" + 0.001*""verification"" + 0.001*""id""')]"
2,GCash Good PS,"[(0, '0.206*""good"" + 0.130*""nice"" + 0.069*""great"" + 0.051*""apps"" + 0.040*""ok"" + 0.037*""useful"" + 0.035*""excellent"" + 0.031*""love"" + 0.024*""helpful"" + 0.024*""convenient""'), (1, '0.069*""easy"" + 0.049*""use"" + 0.034*""money"" + 0.021*""convenient"" + 0.020*""fast"" + 0.018*""transaction"" + 0.015*""thanks"" + 0.014*""cash"" + 0.011*""need"" + 0.011*""send""'), (2, '0.020*""cool"" + 0.018*""load"" + 0.016*""give"" + 0.014*""perfect"" + 0.009*""stars"" + 0.007*""always"" + 0.007*""services"" + 0.006*""hassle_free"" + 0.006*""well"" + 0.005*""new""'), (3, '0.005*""bad"" + 0.005*""pesos"" + 0.004*""hope"" + 0.004*""install"" + 0.004*""update"" + 0.004*""amount"" + 0.003*""makes_life"" + 0.003*""friendly_user"" + 0.003*""friends"" + 0.003*""easier""'), (4, '0.013*""maganda"" + 0.010*""verygood"" + 0.010*""update"" + 0.008*""gamitin"" + 0.006*""ganda"" + 0.006*""pera"" + 0.005*""open"" + 0.005*""problem"" + 0.005*""know"" + 0.004*""verify""')]"
3,GCash Bad PS,"[(0, '0.017*""update"" + 0.016*""money"" + 0.016*""always"" + 0.013*""use"" + 0.010*""cash"" + 0.010*""fix"" + 0.010*""need"" + 0.008*""verify"" + 0.007*""get"" + 0.007*""time""'), (1, '0.026*""student_id"" + 0.021*""verify"" + 0.020*""id"" + 0.010*""option"" + 0.008*""verification"" + 0.006*""ids"" + 0.006*""students_id"" + 0.006*""students"" + 0.005*""tin_id"" + 0.005*""options""'), (2, '0.003*""lag"" + 0.002*""charge"" + 0.001*""wow"" + 0.001*""update"" + 0.001*""thumbs"" + 0.001*""expensive"" + 0.001*""nah"" + 0.001*""convenience_fee"" + 0.001*""fee"" + 0.001*""ing""'), (3, '0.003*""fee"" + 0.002*""fees"" + 0.001*""camera"" + 0.001*""panget"" + 0.001*""charging"" + 0.001*""focus"" + 0.001*""id"" + 0.001*""scammer"" + 0.001*""powered"" + 0.001*""taking_advantage""'), (4, '0.015*""update"" + 0.013*""wala"" + 0.013*""pera"" + 0.009*""load"" + 0.006*""cash"" + 0.006*""ayaw"" + 0.004*""hirap"" + 0.004*""laging"" + 0.004*""lagi"" + 0.004*""ayusin""')]"
4,PayMaya Good AS,"[(0, '0.015*""use"" + 0.013*""convenient"" + 0.010*""easy"" + 0.009*""pay"" + 0.007*""good"" + 0.007*""great"" + 0.007*""really"" + 0.007*""online"" + 0.007*""love"" + 0.007*""need""'), (1, '0.004*""money"" + 0.004*""cash"" + 0.004*""load"" + 0.003*""service"" + 0.003*""team"" + 0.003*""great"" + 0.003*""since"" + 0.003*""features"" + 0.002*""need"" + 0.002*""support""'), (2, '0.002*""ph"" + 0.001*""paying_bills"" + 0.001*""ecosystem"" + 0.001*""best"" + 0.001*""bills"" + 0.001*""financial"" + 0.001*""made"" + 0.001*""qr_code"" + 0.001*""fees"" + 0.001*""gas""'), (3, '0.003*""email"" + 0.002*""years"" + 0.002*""ever"" + 0.002*""recovery"" + 0.002*""frustrating"" + 0.002*""password"" + 0.002*""received"" + 0.002*""told"" + 0.002*""always"" + 0.001*""since""')]"
5,PayMaya Bad AS,"[(0, '0.015*""money"" + 0.013*""upgrade"" + 0.011*""use"" + 0.010*""tried"" + 0.009*""error"" + 0.008*""customer_service"" + 0.007*""load"" + 0.006*""since"" + 0.006*""pay"" + 0.006*""fix""'), (1, '0.018*""money"" + 0.010*""upgrade"" + 0.010*""virtual_card"" + 0.009*""service"" + 0.007*""card"" + 0.007*""customer_service"" + 0.007*""balance"" + 0.006*""online"" + 0.006*""bank"" + 0.005*""use""'), (2, '0.008*""money"" + 0.006*""update"" + 0.006*""really"" + 0.006*""since"" + 0.005*""worst"" + 0.005*""get"" + 0.005*""id"" + 0.005*""service"" + 0.005*""use"" + 0.005*""upgrade""')]"
6,PayMaya Good PS,"[(0, '0.115*""good"" + 0.081*""nice"" + 0.061*""great"" + 0.050*""useful"" + 0.042*""convenient"" + 0.042*""apps"" + 0.041*""use"" + 0.032*""easy"" + 0.029*""love"" + 0.029*""awesome""'), (1, '0.088*""excellent"" + 0.020*""better"" + 0.015*""perfect"" + 0.013*""ewallet"" + 0.010*""secure"" + 0.009*""sobrang"" + 0.008*""transactions"" + 0.008*""download"" + 0.007*""mabilis"" + 0.007*""secured""'), (2, '0.037*""easy"" + 0.037*""pay"" + 0.028*""bills"" + 0.025*""online"" + 0.022*""transaction"" + 0.022*""money"" + 0.018*""fast"" + 0.018*""use"" + 0.014*""payment"" + 0.012*""need""'), (3, '0.016*""load"" + 0.011*""time"" + 0.010*""maganda"" + 0.009*""try"" + 0.009*""smooth"" + 0.008*""need"" + 0.007*""card"" + 0.006*""always"" + 0.006*""upgrade"" + 0.006*""gamitin""'), (4, '0.009*""features"" + 0.007*""users"" + 0.006*""services"" + 0.005*""ewallet"" + 0.005*""update"" + 0.005*""stores"" + 0.005*""wallet"" + 0.005*""first_time"" + 0.005*""load"" + 0.004*""comes""')]"
7,PayMaya Bad PS,"[(0, '0.016*""upgrade"" + 0.015*""money"" + 0.011*""use"" + 0.009*""customer_service"" + 0.007*""email"" + 0.007*""error"" + 0.007*""tried"" + 0.007*""get"" + 0.006*""already"" + 0.006*""response""'), (1, '0.005*""use"" + 0.005*""open"" + 0.004*""pay"" + 0.004*""load"" + 0.004*""number"" + 0.003*""wala"" + 0.003*""bulok"" + 0.003*""card"" + 0.003*""balance"" + 0.003*""money""'), (2, '0.001*""ninyo"" + 0.001*""wla"" + 0.001*""pano"" + 0.001*""lagi"" + 0.001*""wow"" + 0.001*""install"" + 0.001*""mg"" + 0.001*""hirap"" + 0.001*""tawag"" + 0.001*""nlng""'), (3, '0.012*""pera"" + 0.011*""wala"" + 0.007*""load"" + 0.005*""hirap"" + 0.005*""id"" + 0.004*""ayaw"" + 0.004*""ok"" + 0.003*""pwede"" + 0.003*""upgrade"" + 0.003*""wag""'), (4, '0.001*""tagal"" + 0.001*""parin"" + 0.001*""atm"" + 0.001*""charges"" + 0.001*""anong"" + 0.001*""disregard"" + 0.001*""virtual_card"" + 0.000*""approved"" + 0.000*""february"" + 0.000*""expiration""')]"
