,App Store,Topics
0,GCash Good AS,"[(0, '0.014*""money"" + 0.012*""convenient"" + 0.011*""use"" + 0.009*""love"" + 0.009*""good"" + 0.008*""pay"" + 0.007*""bank"" + 0.007*""bills"" + 0.007*""cash"" + 0.006*""easy""'), (1, '0.005*""id"" + 0.005*""need"" + 0.005*""transactions"" + 0.004*""face"" + 0.003*""keep"" + 0.003*""verified"" + 0.003*""wala"" + 0.003*""small"" + 0.003*""available"" + 0.003*""little""'), (2, '0.004*""amazing"" + 0.003*""good"" + 0.003*""verified"" + 0.003*""issues"" + 0.003*""technical"" + 0.003*""ginvest"" + 0.003*""tho"" + 0.003*""invest"" + 0.003*""verification"" + 0.003*""already""'), (3, '0.004*""time"" + 0.004*""things"" + 0.003*""give"" + 0.003*""get"" + 0.003*""patience"" + 0.003*""people"" + 0.003*""anyways"" + 0.003*""others"" + 0.003*""hurting"" + 0.003*""solve""')]"
1,GCash Bad AS,"[(0, '0.012*""use"" + 0.011*""update"" + 0.011*""cash"" + 0.009*""fix"" + 0.009*""money"" + 0.008*""verify"" + 0.008*""service"" + 0.007*""always"" + 0.006*""need"" + 0.005*""working""'), (1, '0.017*""money"" + 0.007*""already"" + 0.007*""tried"" + 0.006*""fix"" + 0.006*""ticket"" + 0.005*""load"" + 0.005*""problem"" + 0.005*""get"" + 0.004*""balance"" + 0.004*""email""'), (2, '0.004*""support"" + 0.003*""money"" + 0.003*""use"" + 0.002*""wala"" + 0.002*""hirap"" + 0.002*""reply"" + 0.002*""apps"" + 0.002*""one"" + 0.002*""data"" + 0.002*""pera""'), (3, '0.008*""cash"" + 0.006*""bank"" + 0.004*""wala"" + 0.004*""money"" + 0.004*""charge"" + 0.004*""transaction"" + 0.003*""service"" + 0.003*""update"" + 0.003*""pera"" + 0.003*""id""'), (4, '0.004*""mpin"" + 0.002*""data"" + 0.002*""valid_id"" + 0.002*""one"" + 0.002*""tas"" + 0.002*""error"" + 0.002*""profile"" + 0.002*""lagi"" + 0.002*""transaction"" + 0.001*""much""')]"
2,GCash Good PS,"[(0, '0.179*""good"" + 0.113*""nice"" + 0.060*""great"" + 0.045*""apps"" + 0.035*""ok"" + 0.034*""useful"" + 0.032*""love"" + 0.031*""use"" + 0.030*""excellent"" + 0.029*""convenient""'), (1, '0.041*""easy"" + 0.038*""money"" + 0.016*""use"" + 0.014*""cash"" + 0.013*""load"" + 0.012*""need"" + 0.012*""send"" + 0.011*""convenient"" + 0.011*""pay_bills"" + 0.011*""pay""'), (2, '0.020*""update"" + 0.010*""convenience"" + 0.009*""try"" + 0.008*""always"" + 0.006*""problem"" + 0.006*""new"" + 0.006*""services"" + 0.006*""download"" + 0.005*""want"" + 0.005*""fix""'), (3, '0.014*""maganda"" + 0.009*""wala"" + 0.008*""gamitin"" + 0.008*""load"" + 0.008*""ganda"" + 0.006*""salamat"" + 0.006*""pera"" + 0.005*""mabilis"" + 0.005*""friends"" + 0.005*""madali""'), (4, '0.016*""verygood"" + 0.005*""verify"" + 0.005*""id"" + 0.005*""full"" + 0.005*""ayos"" + 0.004*""yeah"" + 0.004*""verified"" + 0.004*""student_id"" + 0.003*""oks"" + 0.003*""pera""')]"
3,GCash Bad PS,"[(0, '0.019*""update"" + 0.018*""always"" + 0.015*""use"" + 0.013*""verify"" + 0.011*""fix"" + 0.011*""need"" + 0.008*""open"" + 0.008*""time"" + 0.008*""id"" + 0.007*""verified""'), (1, '0.032*""money"" + 0.014*""load"" + 0.014*""cash"" + 0.013*""transaction"" + 0.008*""pesos"" + 0.007*""charge"" + 0.007*""bank"" + 0.006*""fee"" + 0.006*""deducted"" + 0.006*""send""'), (2, '0.017*""update"" + 0.013*""wala"" + 0.013*""pera"" + 0.009*""load"" + 0.006*""ayaw"" + 0.005*""cash"" + 0.004*""laging"" + 0.004*""hirap"" + 0.004*""lagi"" + 0.004*""tagal""'), (3, '0.001*""good_job"" + 0.000*""everywhere"" + 0.000*""shutdown"" + 0.000*""real"" + 0.000*""hayst"" + 0.000*""haysss"" + 0.000*""nalabas"" + 0.000*""gud"" + 0.000*""malaysian"" + 0.000*""lousy""'), (4, '0.002*""tin"" + 0.001*""aq"" + 0.001*""mabagal"" + 0.001*""tin_id"" + 0.001*""sap"" + 0.001*""tanga"" + 0.001*""bad_experience"" + 0.001*""antagal"" + 0.001*""ayuda"" + 0.001*""tinatanggap""')]"
4,PayMaya Good AS,"[(0, '0.015*""use"" + 0.013*""convenient"" + 0.011*""easy"" + 0.010*""pay"" + 0.008*""need"" + 0.007*""great"" + 0.007*""love"" + 0.007*""good"" + 0.006*""money"" + 0.006*""really""'), (1, '0.003*""online"" + 0.003*""cash"" + 0.003*""great"" + 0.003*""feature"" + 0.002*""mode"" + 0.002*""user"" + 0.002*""transactions"" + 0.002*""service"" + 0.002*""option"" + 0.002*""money""'), (2, '0.004*""support"" + 0.003*""transfer"" + 0.003*""money"" + 0.003*""email"" + 0.003*""could"" + 0.003*""years"" + 0.002*""password"" + 0.002*""customer"" + 0.002*""problem"" + 0.002*""fund""'), (3, '0.004*""ewallet"" + 0.003*""users"" + 0.002*""deals"" + 0.002*""good"" + 0.002*""different"" + 0.002*""applications"" + 0.002*""security"" + 0.002*""load"" + 0.001*""feature"" + 0.001*""use""')]"
5,PayMaya Bad AS,"[(0, '0.016*""money"" + 0.012*""upgrade"" + 0.010*""use"" + 0.008*""error"" + 0.008*""customer_service"" + 0.008*""service"" + 0.006*""tried"" + 0.006*""load"" + 0.006*""time"" + 0.006*""update""'), (1, '0.015*""upgrade"" + 0.010*""card"" + 0.008*""virtual_card"" + 0.007*""add_money"" + 0.007*""tried"" + 0.007*""since"" + 0.005*""password"" + 0.005*""use"" + 0.005*""service"" + 0.004*""already""'), (2, '0.020*""money"" + 0.012*""bank"" + 0.009*""use"" + 0.008*""tried"" + 0.007*""transaction"" + 0.006*""customer_service"" + 0.006*""balance"" + 0.006*""transfer"" + 0.006*""already"" + 0.005*""add_money""')]"
6,PayMaya Good PS,"[(0, '0.107*""good"" + 0.076*""nice"" + 0.056*""great"" + 0.049*""easy"" + 0.047*""useful"" + 0.044*""convenient"" + 0.042*""use"" + 0.038*""apps"" + 0.027*""love"" + 0.027*""awesome""'), (1, '0.045*""best"" + 0.032*""amazing"" + 0.016*""far"" + 0.015*""reliable"" + 0.010*""convenience"" + 0.009*""payment"" + 0.009*""ewallet"" + 0.008*""ever"" + 0.008*""transactions"" + 0.008*""since""'), (2, '0.025*""money"" + 0.022*""pay"" + 0.018*""bills"" + 0.016*""need"" + 0.014*""use"" + 0.014*""time"" + 0.013*""online"" + 0.012*""really"" + 0.012*""lot"" + 0.011*""one""'), (3, '0.016*""maganda"" + 0.013*""load"" + 0.011*""pwede"" + 0.011*""convinient"" + 0.009*""wala"" + 0.009*""pera"" + 0.007*""ganda"" + 0.007*""padala"" + 0.006*""pang"" + 0.006*""friendly_user""'), (4, '0.026*""happy"" + 0.021*""gamitin"" + 0.012*""efficient"" + 0.007*""madali"" + 0.006*""super"" + 0.005*""gamit"" + 0.005*""galing"" + 0.005*""pera"" + 0.005*""qr"" + 0.004*""ginagamit""')]"
7,PayMaya Bad PS,"[(0, '0.015*""money"" + 0.015*""upgrade"" + 0.012*""use"" + 0.009*""customer_service"" + 0.007*""error"" + 0.007*""email"" + 0.007*""get"" + 0.007*""tried"" + 0.006*""already"" + 0.006*""response""'), (1, '0.012*""upgrade"" + 0.008*""id"" + 0.005*""pera"" + 0.005*""student_id"" + 0.004*""hirap"" + 0.004*""load"" + 0.003*""makapag"" + 0.003*""apps"" + 0.003*""voters_id"" + 0.003*""pwede""'), (2, '0.003*""load"" + 0.002*""video"" + 0.001*""laging"" + 0.001*""pala"" + 0.001*""great"" + 0.001*""id"" + 0.001*""picture"" + 0.001*""maopen"" + 0.001*""lagi"" + 0.001*""gumagana""'), (3, '0.013*""wala"" + 0.010*""pera"" + 0.005*""ayaw"" + 0.005*""load"" + 0.004*""bulok"" + 0.003*""number"" + 0.003*""nalang"" + 0.003*""ok"" + 0.003*""wag"" + 0.003*""pumasok""'), (4, '0.001*""hirap"" + 0.001*""problema"" + 0.001*""nlng"" + 0.001*""ganyan"" + 0.001*""dati"" + 0.001*""niu"" + 0.001*""aq"" + 0.001*""ninyo"" + 0.001*""duplicate"" + 0.001*""gawa""')]"
