,App Store,Topics
0,GCash Good AS,"[(0, '0.014*""love"" + 0.012*""money"" + 0.010*""good"" + 0.010*""number"" + 0.008*""really"" + 0.008*""use"" + 0.008*""hope"" + 0.007*""cash"" + 0.006*""load"" + 0.006*""useful""'), (1, '0.015*""convenient"" + 0.013*""money"" + 0.012*""use"" + 0.009*""pay"" + 0.009*""transactions"" + 0.009*""great"" + 0.009*""bills"" + 0.009*""good"" + 0.008*""bank"" + 0.007*""years""')]"
1,GCash Bad AS,"[(0, '0.010*""money"" + 0.010*""update"" + 0.009*""fix"" + 0.009*""use"" + 0.008*""already"" + 0.008*""cash"" + 0.006*""service"" + 0.006*""tried"" + 0.005*""problem"" + 0.005*""verified""'), (1, '0.014*""money"" + 0.009*""cash"" + 0.009*""use"" + 0.007*""always"" + 0.007*""load"" + 0.007*""service"" + 0.007*""fix"" + 0.006*""update"" + 0.005*""bank"" + 0.005*""time""'), (2, '0.007*""money"" + 0.006*""cash"" + 0.005*""gcredit"" + 0.004*""poor"" + 0.004*""tried"" + 0.004*""bank"" + 0.004*""time"" + 0.004*""fix"" + 0.004*""use"" + 0.004*""paypal""'), (3, '0.010*""verify"" + 0.007*""money"" + 0.006*""use"" + 0.005*""verification"" + 0.005*""need"" + 0.004*""customer_service"" + 0.004*""fix"" + 0.004*""update"" + 0.004*""get"" + 0.004*""one""')]"
2,GCash Good PS,"[(0, '0.161*""good"" + 0.102*""nice"" + 0.054*""great"" + 0.045*""easy"" + 0.040*""apps"" + 0.033*""use"" + 0.033*""useful"" + 0.031*""ok"" + 0.030*""convenient"" + 0.029*""love""'), (1, '0.023*""money"" + 0.022*""best"" + 0.015*""cash"" + 0.011*""need"" + 0.009*""load"" + 0.009*""time"" + 0.008*""update"" + 0.007*""send"" + 0.007*""use"" + 0.007*""online""'), (2, '0.012*""maganda"" + 0.010*""verygood"" + 0.009*""load"" + 0.008*""gamitin"" + 0.006*""ganda"" + 0.005*""pera"" + 0.005*""give"" + 0.004*""wala"" + 0.004*""salamat"" + 0.004*""pwede""')]"
3,GCash Bad PS,"[(0, '0.038*""update"" + 0.028*""always"" + 0.015*""need"" + 0.014*""open"" + 0.013*""fix"" + 0.011*""use"" + 0.010*""error"" + 0.009*""good"" + 0.009*""log"" + 0.009*""time""'), (1, '0.030*""money"" + 0.017*""cash"" + 0.014*""use"" + 0.008*""transaction"" + 0.007*""send"" + 0.007*""already"" + 0.007*""service"" + 0.006*""get"" + 0.006*""bank"" + 0.006*""customer_service""'), (2, '0.047*""verify"" + 0.041*""id"" + 0.022*""verified"" + 0.021*""student_id"" + 0.015*""verification"" + 0.010*""ids"" + 0.010*""option"" + 0.010*""picture"" + 0.009*""student"" + 0.009*""clear""'), (3, '0.018*""service"" + 0.018*""poor"" + 0.012*""worst"" + 0.005*""ever"" + 0.005*""poor_customer"" + 0.003*""fake"" + 0.003*""scammer"" + 0.002*""customer_service"" + 0.001*""unstable"" + 0.001*""fee""'), (4, '0.016*""pera"" + 0.016*""wala"" + 0.011*""load"" + 0.007*""update"" + 0.007*""cash"" + 0.005*""ayaw"" + 0.004*""bulok"" + 0.004*""ayusin"" + 0.004*""maka"" + 0.004*""laman""')]"
4,PayMaya Good AS,"[(0, '0.010*""use"" + 0.008*""good"" + 0.007*""easy"" + 0.005*""convenient"" + 0.005*""pay"" + 0.004*""load"" + 0.003*""really"" + 0.003*""love"" + 0.003*""need"" + 0.003*""cashback""'), (1, '0.008*""use"" + 0.007*""money"" + 0.006*""pay"" + 0.006*""great"" + 0.006*""convenient"" + 0.005*""online"" + 0.005*""love"" + 0.005*""really"" + 0.005*""transaction"" + 0.004*""easy""'), (2, '0.005*""pay"" + 0.004*""use"" + 0.004*""bills"" + 0.004*""love"" + 0.004*""load"" + 0.003*""payment"" + 0.003*""much"" + 0.003*""good"" + 0.003*""customer_service"" + 0.003*""poor""'), (3, '0.011*""convenient"" + 0.008*""easy"" + 0.007*""use"" + 0.006*""best"" + 0.006*""need"" + 0.006*""one"" + 0.006*""payment"" + 0.004*""great"" + 0.004*""ewallet"" + 0.004*""thanks""'), (4, '0.006*""money"" + 0.004*""time"" + 0.004*""convenient"" + 0.004*""need"" + 0.003*""great"" + 0.003*""use"" + 0.003*""really"" + 0.003*""love"" + 0.003*""transfer"" + 0.003*""easy""')]"
5,PayMaya Bad AS,"[(0, '0.015*""money"" + 0.012*""upgrade"" + 0.009*""use"" + 0.008*""tried"" + 0.007*""card"" + 0.007*""error"" + 0.007*""service"" + 0.006*""customer_service"" + 0.006*""fix"" + 0.005*""bank""'), (1, '0.006*""add_money"" + 0.006*""customer_service"" + 0.005*""email"" + 0.005*""money"" + 0.005*""tried"" + 0.004*""since"" + 0.004*""transaction"" + 0.004*""password"" + 0.004*""otp"" + 0.003*""number""'), (2, '0.005*""virtual_card"" + 0.004*""upgrade"" + 0.002*""sms"" + 0.002*""deactivated"" + 0.002*""money"" + 0.002*""email"" + 0.002*""since"" + 0.002*""disregard"" + 0.002*""february"" + 0.002*""notification""'), (3, '0.008*""money"" + 0.004*""pay"" + 0.004*""upgrade"" + 0.003*""use"" + 0.003*""get"" + 0.003*""back"" + 0.003*""time"" + 0.003*""customer_service"" + 0.003*""virtual_card"" + 0.003*""need""'), (4, '0.002*""pera"" + 0.002*""reply"" + 0.002*""grabe"" + 0.002*""pumasok"" + 0.002*""wala"" + 0.002*""message"" + 0.001*""service"" + 0.001*""payment"" + 0.001*""number"" + 0.001*""grab""')]"
6,PayMaya Good PS,"[(0, '0.053*""good"" + 0.038*""nice"" + 0.028*""great"" + 0.027*""easy"" + 0.026*""use"" + 0.023*""convenient"" + 0.023*""useful"" + 0.020*""apps"" + 0.014*""love"" + 0.013*""awesome""'), (1, '0.006*""gamitin"" + 0.006*""load"" + 0.005*""bills"" + 0.005*""sobrang"" + 0.005*""need"" + 0.004*""ewallet"" + 0.004*""pera"" + 0.004*""maganda"" + 0.004*""mas"" + 0.003*""pwede""'), (2, '0.001*""success"" + 0.001*""security"" + 0.001*""win"" + 0.001*""card"" + 0.001*""comment"" + 0.001*""gg"" + 0.001*""fee"" + 0.001*""powerful"" + 0.001*""covenient"" + 0.001*""dis""'), (3, '0.002*""upgrade"" + 0.001*""new"" + 0.001*""old"" + 0.001*""approve"" + 0.001*""amaze"" + 0.001*""ver"" + 0.001*""thx"" + 0.001*""version"" + 0.001*""bad"" + 0.001*""clear""'), (4, '0.002*""satisfy"" + 0.001*""log"" + 0.001*""five"" + 0.001*""nicee"" + 0.001*""realy"" + 0.001*""gud"" + 0.001*""ids"" + 0.001*""ayuda"" + 0.001*""loveit"" + 0.001*""astig""')]"
7,PayMaya Bad PS,"[(0, '0.016*""money"" + 0.015*""upgrade"" + 0.013*""use"" + 0.008*""customer_service"" + 0.008*""error"" + 0.007*""get"" + 0.007*""tried"" + 0.007*""email"" + 0.007*""already"" + 0.007*""fix""'), (1, '0.008*""upgrade"" + 0.008*""wala"" + 0.007*""id"" + 0.006*""pera"" + 0.004*""payment"" + 0.004*""transaction"" + 0.004*""customer_service"" + 0.003*""sss"" + 0.003*""pwede"" + 0.003*""hirap""'), (2, '0.004*""upgrade"" + 0.004*""wala"" + 0.003*""hirap"" + 0.003*""load"" + 0.002*""makapag"" + 0.002*""ayusin"" + 0.002*""id"" + 0.002*""nio"" + 0.002*""apps"" + 0.002*""pwede""'), (3, '0.011*""pera"" + 0.009*""wala"" + 0.009*""load"" + 0.005*""ayaw"" + 0.004*""wag"" + 0.004*""tagal"" + 0.003*""apps"" + 0.003*""upgrade"" + 0.003*""pumasok"" + 0.003*""wla""')]"
