,App Store,Topics
0,GCash Good AS,"[(0, '0.012*""money"" + 0.011*""convenient"" + 0.010*""love"" + 0.010*""good"" + 0.009*""use"" + 0.007*""pay"" + 0.007*""cash"" + 0.006*""bills"" + 0.006*""easy"" + 0.006*""number""'), (1, '0.007*""transactions"" + 0.007*""best"" + 0.006*""money"" + 0.005*""use"" + 0.004*""bank"" + 0.004*""convenient"" + 0.004*""transaction"" + 0.004*""years"" + 0.004*""far"" + 0.004*""get""'), (2, '0.004*""gforest"" + 0.004*""good"" + 0.003*""great"" + 0.003*""actually"" + 0.003*""useful"" + 0.002*""proceed"" + 0.002*""issues"" + 0.002*""gsave"" + 0.002*""invest"" + 0.002*""technical""')]"
1,GCash Bad AS,"[(0, '0.012*""money"" + 0.011*""cash"" + 0.011*""fix"" + 0.010*""update"" + 0.009*""use"" + 0.007*""service"" + 0.007*""always"" + 0.007*""verify"" + 0.006*""need"" + 0.006*""load""'), (1, '0.010*""money"" + 0.008*""use"" + 0.005*""email"" + 0.005*""customer_service"" + 0.005*""already"" + 0.004*""time"" + 0.004*""one"" + 0.004*""get"" + 0.004*""transaction"" + 0.003*""sent""'), (2, '0.009*""money"" + 0.004*""use"" + 0.004*""customer_service"" + 0.003*""time"" + 0.003*""bank"" + 0.003*""service"" + 0.003*""stupid"" + 0.003*""cash"" + 0.003*""wala"" + 0.003*""update""')]"
2,GCash Good PS,"[(0, '0.157*""good"" + 0.100*""nice"" + 0.052*""great"" + 0.044*""easy"" + 0.039*""apps"" + 0.033*""useful"" + 0.032*""use"" + 0.031*""ok"" + 0.030*""convenient"" + 0.029*""love""'), (1, '0.031*""money"" + 0.014*""cash"" + 0.013*""load"" + 0.012*""need"" + 0.010*""send"" + 0.009*""time"" + 0.007*""pay"" + 0.007*""use"" + 0.007*""hope"" + 0.007*""update""'), (2, '0.013*""maganda"" + 0.010*""verygood"" + 0.008*""gamitin"" + 0.006*""wala"" + 0.006*""pera"" + 0.005*""ganda"" + 0.005*""salamat"" + 0.004*""cashless"" + 0.004*""update"" + 0.004*""mabilis""')]"
3,GCash Bad PS,"[(0, '0.018*""update"" + 0.015*""always"" + 0.015*""money"" + 0.013*""use"" + 0.010*""verify"" + 0.010*""need"" + 0.010*""fix"" + 0.008*""cash"" + 0.007*""time"" + 0.007*""get""'), (1, '0.015*""cash"" + 0.012*""pera"" + 0.012*""wala"" + 0.007*""charge"" + 0.006*""fee"" + 0.005*""laging"" + 0.004*""load"" + 0.004*""update"" + 0.004*""service"" + 0.004*""transaction""'), (2, '0.010*""update"" + 0.008*""load"" + 0.006*""ayaw"" + 0.006*""wala"" + 0.004*""bulok"" + 0.004*""pera"" + 0.004*""lagi"" + 0.003*""hirap"" + 0.003*""bagal"" + 0.003*""ayusin""')]"
4,PayMaya Good AS,"[(0, '0.014*""use"" + 0.012*""convenient"" + 0.011*""easy"" + 0.008*""pay"" + 0.008*""great"" + 0.007*""good"" + 0.006*""love"" + 0.006*""really"" + 0.006*""money"" + 0.006*""online""'), (1, '0.005*""need"" + 0.004*""payment"" + 0.004*""money"" + 0.004*""email"" + 0.003*""pay"" + 0.003*""us"" + 0.003*""since"" + 0.003*""service"" + 0.002*""good"" + 0.002*""every""'), (2, '0.002*""issue"" + 0.002*""could"" + 0.002*""first"" + 0.002*""told"" + 0.002*""never"" + 0.002*""balikbayad"" + 0.002*""thought"" + 0.002*""bills"" + 0.001*""promos"" + 0.001*""ewallet""')]"
5,PayMaya Bad AS,"[(0, '0.018*""money"" + 0.009*""upgrade"" + 0.009*""load"" + 0.008*""customer_service"" + 0.008*""service"" + 0.006*""tried"" + 0.006*""time"" + 0.006*""bank"" + 0.006*""card"" + 0.006*""add_money""'), (1, '0.014*""upgrade"" + 0.012*""use"" + 0.012*""money"" + 0.008*""since"" + 0.008*""error"" + 0.007*""customer_service"" + 0.006*""virtual_card"" + 0.006*""tried"" + 0.006*""service"" + 0.006*""pay""'), (2, '0.012*""money"" + 0.009*""tried"" + 0.009*""password"" + 0.006*""email"" + 0.006*""support"" + 0.006*""use"" + 0.005*""get"" + 0.005*""always"" + 0.005*""back"" + 0.005*""since""')]"
6,PayMaya Good PS,"[(0, '0.081*""good"" + 0.059*""nice"" + 0.043*""great"" + 0.041*""easy"" + 0.038*""use"" + 0.034*""useful"" + 0.034*""convenient"" + 0.030*""apps"" + 0.022*""love"" + 0.020*""awesome""'), (1, '0.039*""ok"" + 0.013*""happy"" + 0.010*""ewallet"" + 0.008*""services"" + 0.007*""try"" + 0.006*""smooth"" + 0.006*""stars"" + 0.005*""online"" + 0.005*""since"" + 0.005*""say""'), (2, '0.011*""need"" + 0.009*""money"" + 0.008*""load"" + 0.008*""bills"" + 0.006*""gamitin"" + 0.006*""really"" + 0.005*""pandemic"" + 0.005*""time"" + 0.005*""pay"" + 0.005*""feature""')]"
7,PayMaya Bad PS,"[(0, '0.016*""upgrade"" + 0.015*""money"" + 0.012*""use"" + 0.008*""customer_service"" + 0.007*""error"" + 0.007*""email"" + 0.007*""get"" + 0.006*""tried"" + 0.006*""already"" + 0.006*""response""'), (1, '0.009*""load"" + 0.005*""money"" + 0.003*""mastercard"" + 0.003*""pesos"" + 0.002*""refund"" + 0.002*""promo"" + 0.002*""sss"" + 0.002*""convenience_fee"" + 0.002*""wala"" + 0.002*""transfer""'), (2, '0.012*""pera"" + 0.011*""wala"" + 0.006*""load"" + 0.005*""hirap"" + 0.004*""ayaw"" + 0.003*""id"" + 0.003*""apps"" + 0.003*""error"" + 0.003*""pwede"" + 0.003*""number""')]"
