,App Store,Topics
0,GCash Good AS,"[(0, '0.013*""money"" + 0.011*""convenient"" + 0.011*""use"" + 0.011*""love"" + 0.009*""good"" + 0.007*""pay"" + 0.007*""transactions"" + 0.006*""number"" + 0.006*""bills"" + 0.006*""bank""'), (1, '0.005*""transaction"" + 0.005*""need"" + 0.004*""best"" + 0.004*""years"" + 0.003*""great"" + 0.003*""banks"" + 0.003*""money"" + 0.003*""paying"" + 0.003*""made"" + 0.003*""able""'), (2, '0.004*""go"" + 0.004*""give"" + 0.003*""face"" + 0.003*""time"" + 0.003*""along"" + 0.003*""anyways"" + 0.003*""hurting"" + 0.003*""solve"" + 0.003*""others"" + 0.003*""patience""'), (3, '0.004*""date"" + 0.004*""transactions"" + 0.003*""better"" + 0.003*""much"" + 0.003*""version"" + 0.003*""globeone"" + 0.003*""cash"" + 0.003*""due"" + 0.002*""cashless"" + 0.002*""bank""')]"
1,GCash Bad AS,"[(0, '0.012*""money"" + 0.011*""use"" + 0.010*""fix"" + 0.010*""update"" + 0.009*""cash"" + 0.007*""verify"" + 0.007*""already"" + 0.007*""service"" + 0.006*""tried"" + 0.006*""need""'), (1, '0.015*""money"" + 0.007*""cash"" + 0.006*""transaction"" + 0.005*""service"" + 0.005*""bank"" + 0.004*""always"" + 0.004*""pera"" + 0.004*""received"" + 0.004*""time"" + 0.003*""use""'), (2, '0.003*""wala"" + 0.003*""mpin"" + 0.003*""rebate"" + 0.003*""poor"" + 0.003*""money"" + 0.002*""php"" + 0.002*""bank"" + 0.002*""nung"" + 0.002*""bdo"" + 0.002*""since""'), (3, '0.005*""bulok"" + 0.003*""gscore"" + 0.003*""use"" + 0.002*""support"" + 0.002*""name"" + 0.002*""mpin"" + 0.002*""money"" + 0.002*""terms"" + 0.002*""get"" + 0.002*""customer_service""'), (4, '0.010*""pera"" + 0.003*""verify"" + 0.003*""transaction"" + 0.003*""wala"" + 0.002*""cash"" + 0.002*""card"" + 0.002*""bank"" + 0.002*""ilang"" + 0.002*""sobrang"" + 0.002*""stupid""')]"
2,GCash Good PS,"[(0, '0.189*""good"" + 0.120*""nice"" + 0.063*""great"" + 0.047*""apps"" + 0.037*""ok"" + 0.035*""useful"" + 0.033*""love"" + 0.032*""easy"" + 0.032*""excellent"" + 0.031*""use""'), (1, '0.035*""easy"" + 0.029*""best"" + 0.027*""fast"" + 0.025*""transaction"" + 0.021*""cash"" + 0.020*""use"" + 0.014*""convenient"" + 0.013*""transactions"" + 0.011*""update"" + 0.011*""convinient""'), (2, '0.053*""money"" + 0.018*""send"" + 0.015*""time"" + 0.014*""pay"" + 0.013*""thanks"" + 0.013*""need"" + 0.012*""pay_bills"" + 0.012*""load"" + 0.012*""transfer"" + 0.011*""buy_load""'), (3, '0.017*""verygood"" + 0.009*""open"" + 0.006*""less_hassle"" + 0.005*""convinience"" + 0.004*""family"" + 0.004*""friends"" + 0.003*""nothing"" + 0.003*""say"" + 0.002*""poor"" + 0.002*""worth""'), (4, '0.016*""maganda"" + 0.010*""gamitin"" + 0.007*""ganda"" + 0.007*""pera"" + 0.007*""wala"" + 0.005*""mabilis"" + 0.005*""load"" + 0.004*""madali"" + 0.004*""pwede"" + 0.004*""salamat""')]"
3,GCash Bad PS,"[(0, '0.031*""update"" + 0.021*""always"" + 0.015*""verify"" + 0.012*""need"" + 0.012*""fix"" + 0.011*""use"" + 0.011*""open"" + 0.010*""load"" + 0.009*""verified"" + 0.009*""id""'), (1, '0.028*""money"" + 0.016*""cash"" + 0.011*""use"" + 0.008*""service"" + 0.008*""transaction"" + 0.007*""customer_service"" + 0.006*""already"" + 0.006*""bank"" + 0.005*""send"" + 0.005*""pay""'), (2, '0.015*""pera"" + 0.014*""wala"" + 0.008*""load"" + 0.007*""cash"" + 0.005*""ayaw"" + 0.004*""ayusin"" + 0.004*""laman"" + 0.003*""lagi"" + 0.003*""hirap"" + 0.003*""nalang""'), (3, '0.002*""fake"" + 0.001*""scammer"" + 0.001*""lmao"" + 0.001*""wrongsomething_went"" + 0.001*""unstable"" + 0.001*""keeps_crashing"" + 0.000*""madownload"" + 0.000*""galaxy"" + 0.000*""absolutely"" + 0.000*""tech""'), (4, '0.002*""tin"" + 0.001*""umay"" + 0.001*""ulo"" + 0.001*""aq"" + 0.001*""tanga"" + 0.001*""tin_id"" + 0.001*""daming"" + 0.001*""mabagal"" + 0.001*""ganda"" + 0.001*""sap""')]"
4,PayMaya Good AS,"[(0, '0.014*""use"" + 0.013*""convenient"" + 0.011*""easy"" + 0.008*""pay"" + 0.007*""great"" + 0.007*""good"" + 0.007*""need"" + 0.006*""love"" + 0.006*""online"" + 0.006*""really""'), (1, '0.005*""money"" + 0.004*""time"" + 0.004*""pay"" + 0.004*""cash"" + 0.003*""use"" + 0.003*""transaction"" + 0.003*""every"" + 0.003*""never"" + 0.003*""really"" + 0.003*""convenient""'), (2, '0.002*""barcode"" + 0.002*""great"" + 0.002*""tumawag"" + 0.002*""supervisor"" + 0.002*""service"" + 0.001*""good"" + 0.001*""system"" + 0.001*""tatawag"" + 0.001*""nangako"" + 0.001*""ngaun""'), (3, '0.003*""best"" + 0.002*""one"" + 0.002*""email"" + 0.002*""payment"" + 0.002*""info"" + 0.002*""bank"" + 0.002*""made"" + 0.002*""response"" + 0.002*""messenger"" + 0.002*""applications""')]"
5,PayMaya Bad AS,"[(0, '0.018*""money"" + 0.014*""upgrade"" + 0.009*""use"" + 0.009*""card"" + 0.009*""error"" + 0.009*""tried"" + 0.007*""fix"" + 0.007*""update"" + 0.007*""service"" + 0.007*""bank""'), (1, '0.011*""money"" + 0.010*""customer_service"" + 0.007*""email"" + 0.007*""tried"" + 0.007*""use"" + 0.007*""add_money"" + 0.006*""number"" + 0.006*""since"" + 0.006*""service"" + 0.006*""transaction""'), (2, '0.015*""virtual_card"" + 0.012*""money"" + 0.011*""upgrade"" + 0.009*""use"" + 0.008*""customer_service"" + 0.005*""send"" + 0.005*""email"" + 0.005*""since"" + 0.005*""could"" + 0.005*""blocked""')]"
6,PayMaya Good PS,"[(0, '0.104*""good"" + 0.074*""nice"" + 0.055*""great"" + 0.047*""easy"" + 0.045*""useful"" + 0.044*""use"" + 0.041*""convenient"" + 0.036*""apps"" + 0.026*""awesome"" + 0.022*""excellent""'), (1, '0.049*""best"" + 0.020*""usefull"" + 0.017*""load"" + 0.012*""time"" + 0.012*""used"" + 0.012*""reliable"" + 0.011*""ewallet"" + 0.011*""user_friendly"" + 0.010*""gamitin"" + 0.010*""perfect""'), (2, '0.044*""pay"" + 0.029*""bills"" + 0.021*""online"" + 0.019*""need"" + 0.018*""really"" + 0.013*""money"" + 0.012*""lot"" + 0.010*""way"" + 0.009*""since"" + 0.009*""cash""'), (3, '0.099*""love"" + 0.013*""feature"" + 0.010*""hope"" + 0.009*""made"" + 0.009*""features"" + 0.008*""never"" + 0.007*""users"" + 0.007*""promos"" + 0.007*""add"" + 0.006*""really""'), (4, '0.006*""upgrade"" + 0.006*""gamit"" + 0.005*""galing"" + 0.004*""number"" + 0.004*""done"" + 0.004*""option"" + 0.004*""log"" + 0.003*""install"" + 0.003*""full"" + 0.003*""give""')]"
7,PayMaya Bad PS,"[(0, '0.016*""upgrade"" + 0.015*""money"" + 0.012*""use"" + 0.008*""customer_service"" + 0.007*""error"" + 0.007*""email"" + 0.007*""get"" + 0.006*""tried"" + 0.006*""already"" + 0.006*""need""'), (1, '0.011*""wala"" + 0.009*""pera"" + 0.005*""upgrade"" + 0.003*""ok"" + 0.003*""id"" + 0.003*""transaction"" + 0.003*""customer_service"" + 0.003*""payment"" + 0.003*""pwede"" + 0.003*""load""'), (2, '0.005*""hirap"" + 0.001*""pala"" + 0.001*""wala"" + 0.001*""apps"" + 0.001*""laging"" + 0.001*""id"" + 0.001*""gamitin"" + 0.001*""ganon"" + 0.001*""cash"" + 0.001*""pwede""'), (3, '0.008*""load"" + 0.008*""pera"" + 0.006*""wala"" + 0.005*""ayaw"" + 0.003*""wag"" + 0.003*""pumasok"" + 0.003*""tagal"" + 0.003*""wla"" + 0.003*""nman"" + 0.002*""hnd""'), (4, '0.001*""acount"" + 0.001*""ninyo"" + 0.001*""lagi"" + 0.001*""tawag"" + 0.001*""anu"" + 0.001*""mkpag"" + 0.001*""buwan"" + 0.001*""adds"" + 0.001*""tumawag"" + 0.001*""hinihingi""')]"
