,App Store,Topics
0,GCash Good AS,"[(0, '0.123*""pay"" + 0.116*""money"" + 0.099*""cash"" + 0.096*""bills"" + 0.086*""use"" + 0.078*""transfer"" + 0.072*""online"" + 0.064*""convenient"" + 0.056*""bank"" + 0.047*""easy""'), (1, '0.142*""love"" + 0.141*""convenient"" + 0.134*""good"" + 0.098*""use"" + 0.086*""great"" + 0.070*""time"" + 0.067*""bank"" + 0.066*""useful"" + 0.058*""easy"" + 0.047*""transaction""'), (2, '0.213*""money"" + 0.187*""need"" + 0.161*""transactions"" + 0.141*""hope"" + 0.076*""good"" + 0.060*""transaction"" + 0.056*""love"" + 0.021*""online"" + 0.019*""useful"" + 0.013*""bank""')]"
1,GCash Bad AS,"[(0, '0.037*""money"" + 0.025*""verify"" + 0.016*""use"" + 0.014*""already"" + 0.014*""fix"" + 0.014*""tried"" + 0.014*""load"" + 0.013*""pera"" + 0.013*""verification"" + 0.012*""id""'), (1, '0.032*""update"" + 0.032*""money"" + 0.025*""service"" + 0.023*""use"" + 0.015*""always"" + 0.015*""customer_service"" + 0.013*""time"" + 0.013*""worst"" + 0.013*""need"" + 0.012*""working""'), (2, '0.035*""cash"" + 0.024*""fix"" + 0.016*""use"" + 0.015*""paypal"" + 0.014*""verified"" + 0.013*""tried"" + 0.013*""already"" + 0.013*""issue"" + 0.013*""problem"" + 0.012*""need""')]"
2,GCash Good PS,"[(0, '0.258*""good"" + 0.165*""nice"" + 0.077*""great"" + 0.065*""apps"" + 0.049*""ok"" + 0.048*""useful"" + 0.042*""excellent"" + 0.030*""helpful"" + 0.027*""awesome"" + 0.024*""amazing""'), (1, '0.102*""easy"" + 0.078*""use"" + 0.063*""convenient"" + 0.054*""money"" + 0.030*""fast"" + 0.026*""transaction"" + 0.019*""send"" + 0.015*""cash"" + 0.015*""pay_bills"" + 0.014*""payment""'), (2, '0.096*""love"" + 0.018*""much"" + 0.018*""update"" + 0.016*""load"" + 0.014*""maganda"" + 0.013*""give"" + 0.012*""cash"" + 0.012*""hope"" + 0.011*""really"" + 0.009*""open""')]"
3,GCash Bad PS,"[(0, '0.033*""update"" + 0.030*""always"" + 0.019*""use"" + 0.018*""fix"" + 0.018*""need"" + 0.016*""verify"" + 0.015*""open"" + 0.012*""verified"" + 0.011*""good"" + 0.011*""time""'), (1, '0.028*""load"" + 0.025*""update"" + 0.025*""pera"" + 0.024*""wala"" + 0.013*""cash"" + 0.011*""ayaw"" + 0.008*""tagal"" + 0.008*""rebate"" + 0.007*""bulok"" + 0.007*""laging""'), (2, '0.046*""money"" + 0.020*""cash"" + 0.012*""service"" + 0.012*""customer_service"" + 0.011*""transaction"" + 0.011*""load"" + 0.011*""send"" + 0.010*""already"" + 0.009*""email"" + 0.009*""back""')]"
4,PayMaya Good AS,"[(0, '0.108*""use"" + 0.058*""money"" + 0.057*""online"" + 0.050*""pay"" + 0.043*""easy"" + 0.040*""great"" + 0.036*""transactions"" + 0.035*""bills"" + 0.034*""good"" + 0.028*""convenient""'), (1, '0.054*""need"" + 0.051*""convenient"" + 0.047*""good"" + 0.041*""ewallet"" + 0.035*""thanks"" + 0.034*""load"" + 0.033*""one"" + 0.032*""easy"" + 0.031*""awesome"" + 0.031*""really""'), (2, '0.069*""convenient"" + 0.068*""payment"" + 0.054*""love"" + 0.049*""pay"" + 0.046*""easy"" + 0.045*""great"" + 0.039*""bank"" + 0.036*""use"" + 0.035*""fast"" + 0.032*""transfer""')]"
5,PayMaya Bad AS,"[(0, '0.040*""upgrade"" + 0.028*""use"" + 0.026*""service"" + 0.025*""error"" + 0.021*""since"" + 0.021*""load"" + 0.021*""tried"" + 0.019*""fix"" + 0.019*""add_money"" + 0.018*""time""'), (1, '0.118*""money"" + 0.037*""customer_service"" + 0.028*""back"" + 0.026*""tried"" + 0.025*""bank"" + 0.024*""email"" + 0.021*""password"" + 0.020*""days"" + 0.020*""get"" + 0.020*""already""'), (2, '0.063*""virtual_card"" + 0.054*""card"" + 0.041*""upgrade"" + 0.041*""pay"" + 0.038*""update"" + 0.025*""need"" + 0.023*""blocked"" + 0.023*""online"" + 0.023*""balance"" + 0.023*""received""')]"
6,PayMaya Good PS,"[(0, '0.114*""good"" + 0.079*""nice"" + 0.066*""easy"" + 0.055*""great"" + 0.051*""convenient"" + 0.050*""use"" + 0.047*""apps"" + 0.046*""useful"" + 0.035*""love"" + 0.028*""awesome""'), (1, '0.019*""really"" + 0.017*""money"" + 0.015*""online"" + 0.014*""use"" + 0.011*""pay"" + 0.011*""need"" + 0.010*""transactions"" + 0.010*""time"" + 0.009*""ewallet"" + 0.009*""one""'), (2, '0.016*""pera"" + 0.016*""gamitin"" + 0.014*""need"" + 0.014*""bills"" + 0.014*""sobrang"" + 0.014*""load"" + 0.010*""super"" + 0.010*""gamit"" + 0.010*""mas"" + 0.010*""cashback""')]"
7,PayMaya Bad PS,"[(0, '0.025*""upgrade"" + 0.018*""money"" + 0.017*""load"" + 0.014*""use"" + 0.013*""send"" + 0.013*""service"" + 0.011*""good"" + 0.010*""pera"" + 0.010*""apps"" + 0.010*""error""'), (1, '0.022*""money"" + 0.018*""response"" + 0.017*""get"" + 0.016*""log"" + 0.014*""already"" + 0.014*""fix"" + 0.014*""tried"" + 0.014*""customer_service"" + 0.013*""server"" + 0.013*""error""'), (2, '0.038*""upgrade"" + 0.031*""use"" + 0.025*""card"" + 0.016*""virtual_card"" + 0.016*""id"" + 0.014*""need"" + 0.011*""number"" + 0.011*""used"" + 0.011*""old"" + 0.010*""ids""')]"
